Z,PCAES,SCG,FS,XB,B,K,T,FH,AWCD
0.0804907773,0.1345033628,0.0132820872,0.2990392150,0.1003941164,0.0389983827,0.0487395433,0.0799115702,0.0165580609,0.0176321087
0.0807638127,0.1349541683,0.0133175527,0.2988575631,0.1010748436,0.0393605355,0.0490871639,0.0801915565,0.0165029385,0.0176957119
0.0796221328,0.1353626013,0.0133086716,0.2997950077,0.0998814455,0.0389708208,0.0486821638,0.0796627596,0.0165942809,0.0176800540
0.0790333518,0.1352789975,0.0133935161,0.2989734354,0.0980655031,0.0390515989,0.0488244320,0.0795605374,0.0165378435,0.0176051324
0.0798248520,0.1341126734,0.0132686919,0.2989480415,0.0992509855,0.0391252374,0.0488367411,0.0796476399,0.0165382002,0.0176199135
0.0799573130,0.1357363585,0.0134072759,0.2986621044,0.0992517403,0.0389719432,0.0488974236,0.0796876573,0.0166868797,0.0178501097
0.0798381900,0.1357932526,0.0133891130,0.3000399378,0.0993223367,0.0389942712,0.0487598106,0.0796786878,0.0165636471,0.0177654451
0.0796190918,0.1356125197,0.0133549287,0.2983579957,0.0992852242,0.0389084434,0.0485421915,0.0795565117,0.0165960721,0.0176156739
0.0813432358,0.1351722919,0.0132759503,0.3011538325,0.0997793194,0.0389916086,0.0489016818,0.0798686712,0.0164664702,0.0175738938
0.0797804578,0.1347366862,0.0134389276,0.2987429404,0.1014827543,0.0388921312,0.0488277406,0.0797131331,0.0165702298,0.0177439542
0.0796295717,0.1345839509,0.0133306634,0.2985437173,0.1002426555,0.0387858080,0.0487601699,0.0797713124,0.0165547078,0.0175872866
0.0792199784,0.1342675991,0.0133050319,0.2998785602,0.1000283625,0.0389836523,0.0484172490,0.0799539556,0.0164094049,0.0176413407
0.0795692388,0.1345065930,0.0132503739,0.3004156611,0.0996172772,0.0389851458,0.0491728294,0.0796738592,0.0165546943,0.0175987948
0.0803623411,0.1349378253,0.0133367632,0.2983111146,0.0994412092,0.0388116772,0.0489089154,0.0797568288,0.0165800830,0.0175510952
0.0788810736,0.1351186519,0.0133396238,0.2988146642,0.0999761241,0.0391145563,0.0488497627,0.0797992118,0.0164986012,0.0176664980
0.0788848476,0.1350482383,0.0133439976,0.2993193010,0.1004097306,0.0389640703,0.0491721643,0.0796200047,0.0165912377,0.0176471717
0.0811713074,0.1350360495,0.0133122861,0.2991545909,0.1006462315,0.0389430212,0.0487102585,0.0797635605,0.0164503723,0.0176291712
0.0788672988,0.1351558025,0.0132345363,0.2997683525,0.0996150846,0.0390213142,0.0491253669,0.0795603446,0.0164755713,0.0175823099
0.0804815894,0.1355213433,0.0132232790,0.2997913757,0.0992730743,0.0389938280,0.0488889958,0.0800787113,0.0164970221,0.0175151470
0.0799777496,0.1346187607,0.0133761343,0.2988411456,0.0992520951,0.0390023897,0.0485168805,0.0795258741,0.0165074735,0.0176645002
0.0797540261,0.1348051428,0.0133572787,0.2988276366,0.1024381442,0.0387378272,0.0485659941,0.0794380191,0.0167216698,0.0176339749
0.0805423805,0.1360382257,0.0134406952,0.3000401583,0.0996341952,0.0392315458,0.0490424695,0.0800249950,0.0165566474,0.0177212463
0.0794106040,0.1340934078,0.0132314806,0.2984286003,0.1008937517,0.0388712841,0.0486383635,0.0799261868,0.0164375325,0.0174369394
0.0792952956,0.1350894839,0.0132574141,0.2990956652,0.0993297015,0.0389884970,0.0487206712,0.0792591795,0.0164958727,0.0175857063
0.0807306458,0.1346134915,0.0132546608,0.2998690032,0.1000899445,0.0391065044,0.0491596574,0.0803026181,0.0164672546,0.0175629370
0.0799444845,0.1351242193,0.0133018045,0.2983411663,0.1000215221,0.0389651815,0.0486918419,0.0796593891,0.0165845036,0.0175471505
0.0795821895,0.1349057976,0.0132915405,0.2999397197,0.0992098576,0.0391218136,0.0491466838,0.0798495142,0.0165731953,0.0176145823
0.0798443744,0.1349364231,0.0133160381,0.2989964496,0.0989116808,0.0389156726,0.0488986259,0.0797653501,0.0165868247,0.0175838244
0.0803305458,0.1342657324,0.0132709361,0.2989099263,0.0987770751,0.0386162469,0.0490160587,0.0792989872,0.0164427850,0.0175886797
0.0802329489,0.1352852035,0.0133444324,0.3011263217,0.0995313099,0.0391308169,0.0487117667,0.0796557404,0.0165387473,0.0175538882
