Z,PCAES,SCG,FS,XB,B,K,T,FH,AWCD
0.1026892501,0.0602909871,0.0000000000,0.0984717133,0.0914229567,0.0484947239,0.0631983438,0.1083813418,0.0494068592,0.0000000000
0.1028118197,0.0612472892,0.0000000000,0.1005382207,0.1026928327,0.0594575334,0.0904059572,0.0959892673,0.0622607781,0.0000000000
0.1024960137,0.0794905880,0.0000000000,0.0959485641,0.1025872803,0.0515293695,0.0511563715,0.0610039175,0.0758287544,0.0000000000
0.1020943970,0.0727792518,0.0000000000,0.1017884468,0.0905879617,0.0518889305,0.1194788940,0.0603393412,0.0541083251,0.0000000000
0.1023155554,0.0583113168,0.0000000000,0.1007641943,0.1022431087,0.0707106781,0.0839311348,0.1269146614,0.0375434783,0.0000000000
0.1025005499,0.0650440240,0.0000000000,0.1017388514,0.0913650045,0.0467847040,0.0693251048,0.0525472261,0.0428761693,0.0000000000
0.1024773766,0.0545853806,0.0000000000,0.1005189734,0.1025441135,0.0671287538,0.0646010932,0.0675126144,0.0606899829,0.0000000000
0.1022774635,0.0652015108,0.0000000000,0.0992197374,0.1021928042,0.0453886014,0.0553567802,0.0605542790,0.0662290087,0.0000000000
0.1028699679,0.0594844929,0.0000000000,0.0977748579,0.1025703069,0.0425930308,0.0587137700,0.0966818091,0.0601571369,0.0000000000
0.1025587660,0.0544950979,0.0000000000,0.0868192016,0.1003384233,0.0421857178,0.0653481449,0.0436575059,0.0420263204,0.0000000000
0.1021970553,0.0675036440,0.0000000000,0.1000016158,0.1023132010,0.0471055720,0.0528395949,0.0560870581,0.0495433694,0.0000000000
0.1023609650,0.0580355711,0.0000000000,0.1006969435,0.1026715338,0.0491215318,0.0774333693,0.0744958118,0.0481189801,0.0000000000
0.1023570622,0.0784894885,0.0000000000,0.1010328712,0.0911821580,0.0520119777,0.0558390272,0.1186711740,0.0390999175,0.0000000000
0.1026991389,0.0673525658,0.0000000000,0.1004014002,0.1026882232,0.0539232024,0.0787847825,0.0668339934,0.0491754441,0.0000000000
0.1020449704,0.0726518158,0.0000000000,0.1014428606,0.1023039664,0.0597790048,0.1084129575,0.0568522579,0.0450751880,0.0000000000
0.1022576814,0.0585018859,0.0000000000,0.0988675991,0.1027733962,0.0414296743,0.0666164015,0.0527017401,0.0679745225,0.0000000000
0.1028868743,0.0607209087,0.0000000000,0.0999870122,0.1028012274,0.1058494493,0.0541429638,0.0496734418,0.0516480955,0.0000000000
0.1022474716,0.0712608885,0.0000000000,0.1019129317,0.1025617877,0.0753778361,0.0752649096,0.0620352151,0.0405966645,0.0000000000
0.1027205984,0.0595302546,0.0000000000,0.1005669216,0.1025044928,0.0506595641,0.0846037373,0.1147945783,0.0717583008,0.0000000000
0.1025691408,0.0752457252,0.0000000000,0.1017887069,0.1024151762,0.0609464542,0.1289095695,0.0630216689,0.0762535687,0.0000000000
0.1025259731,0.0579420549,0.0000000000,0.0879996743,0.0901143629,0.0458474898,0.0509938151,0.0592587749,0.0421704934,0.0000000000
0.1026887008,0.0587113521,0.0000000000,0.0979417728,0.1027015280,0.0482291590,0.0629280842,0.0624374086,0.0758287544,0.0000000000
0.1024071457,0.0662245416,0.0000000000,0.1007043982,0.1029191253,0.0473283090,0.1110380273,0.0651945693,0.0365678725,0.0000000000
0.1023207528,0.0730271414,0.0000000000,0.1010900562,0.1027107512,0.0745536095,0.0753737631,0.0583122029,0.0622607781,0.0000000000
0.1026783853,0.0594217425,0.0000000000,0.1000387069,0.1027714810,0.0509733545,0.0734971759,0.0727483344,0.0712287120,0.0000000000
0.1025100992,0.0736897473,0.0000000000,0.1012054270,0.1028431124,0.0501693346,0.0680415957,0.1136112742,0.0572303805,0.0000000000
0.1024027877,0.0686585706,0.0000000000,0.1004748742,0.0911505236,0.0489166871,0.0896011220,0.1229662153,0.0762535687,0.0000000000
0.1025016425,0.0789641097,0.0000000000,0.1017526735,0.1024576822,0.0729831492,0.1287073373,0.0736605931,0.0712287120,0.0000000000
0.1025604315,0.0648704209,0.0000000000,0.1003801345,0.1025254739,0.0596965781,0.0776153702,0.1038855424,0.0679745225,0.0000000000
nan,0.0747533065,0.0000000000,0.1018709133,0.1025634295,0.0633890299,0.0819845180,0.0548268078,0.0578749908,0.0000000000
