B,FS,K,T
16852799.6998134777,59244.4090446797,309110280087403305707241472.0000000000,6469423.7229070496
23798410.9475904740,208935.6718537477,125900833306455150952448000.0000000000,4362562.5181303229
153273824.1978561580,150812.0141025166,4910069394998422874810450482858819584.0000000000,4021741.6732740686
19652440.7809051387,176069.0505814014,173514776298935417831424.0000000000,18773953.6008604430
109980129.5952816010,84385.4277470455,49424262497669116114428315566080.0000000000,20512802.7545087934
807527737.5524950027,45166.7704135470,23484323550381467455715278848.0000000000,78642004.2992779911
638142420.6747261286,182654.2341187685,5237329906828897463304192.0000000000,4768358.4679700341
14613143.3134542014,67043.1482159949,521454718653471942722940043264.0000000000,6798719.3319256436
262712469.7054311335,454889.4282248025,130452466485397585920.0000000000,19074734.6319239959
658255108.7891954184,649459.8090698998,21780582354735964618752.0000000000,10132776.8724540472
18521173.5988878608,79565.1565661303,317451421556538246518800384.0000000000,15573926.2503040880
627477042.3695766926,143726.4104030095,3262126849824670961631232.0000000000,16654436.0402665138
805288688.9831221104,146524.2512062369,26777749625234356.0000000000,12469647.9695162997
82493818.3313966691,82231.8871075321,63645005528821375342477312.0000000000,5131569.2569683483
147107980.8199667931,143158.9485944345,93323210180068928.0000000000,38290042.2872328311
43883278.8699625731,88554.9407562303,695377452965931120894518444278415360.0000000000,7013692.1451380383
14579626.3854381982,46723.4221278419,159752419535164.1875000000,4341214.5987740913
1661164071.4417634010,24610.8449786502,2741156666875120337422561312768.0000000000,226761601.8063444197
85876896.2614700943,72037.0918342879,929945279036204944438853632.0000000000,61671794.4108269438
12968720.7584315576,65093.1963795425,1333890272586308742283264.0000000000,643339720.8534357548
164773116.0884725451,64625.0588708855,19624926344062976072775986721876606976.0000000000,34225452.4832210690
33299224.1395086646,176117.8954616057,1650403336022915605352939520.0000000000,85689547.3630750477
32414644.4290177710,39730.5105591105,612339649759786801117003776.0000000000,86265578.0806390941
42917936.9724575803,58483.3578109290,309110280087403305707241472.0000000000,4963789.3058588849
17864258.5855200402,145953.1885594410,136524067361948979691520.0000000000,17897758.2685370222
15694646.0363798738,150878.5397361446,26777749436438936.0000000000,92955253.0359776318
157497719.9954523444,66846.6439051053,11156400879515325639426048.0000000000,58755214.1930146068
57050444.6575988382,140477.2554238115,2916982599755078164422200167571128320.0000000000,8032072.4430458639
31911661.4519489408,142178.7957557781,3469919877891498272882688.0000000000,10937025.5261463020
9227335.1396471597,34843.4448764719,49424262497669116114428315566080.0000000000,60237386.0755223483
