B,FS,K,T
0.2261162532,0.0172257831,0.2366884874,0.2097108183
0.2256007770,0.0180928734,0.2368274011,0.2096592018
0.2259174469,0.0173965628,0.2367192528,0.2096458756
0.2256804797,0.0176685489,0.2368515233,0.2098707220
0.2256032983,0.0177319849,0.2358026778,0.2098062386
0.2255701075,0.0169446993,0.2368602779,0.2106297180
0.2254400345,0.0181284142,0.2368414126,0.2093875937
0.2253140803,0.0179774025,0.2368975460,0.2097670118
0.2263979960,0.0177990209,0.2356259494,0.2099008199
0.2252623903,0.0173413309,0.2366815579,0.2095659116
0.2257643920,0.0174177969,0.2357238573,0.2097874973
0.2258952957,0.0179422674,0.2354848336,0.2094329426
0.2260140666,0.0180345126,0.2366956239,0.2097974265
0.2257441811,0.0169718506,0.2357402452,0.2095487361
0.2263656696,0.0176298597,0.2366506094,0.2098114882
0.2258015393,0.0171805802,0.2368724852,0.2110637003
0.2258256212,0.0183890007,0.2356887047,0.2096811927
0.2258251075,0.0185915105,0.2368989374,0.2094340188
0.2260300590,0.0170465248,0.2367142894,0.2098354726
0.2266932117,0.0174266882,0.2357181252,0.2098294322
0.2252339371,0.0174165697,0.2357483926,0.2098350384
0.2256011931,0.0182315420,0.2366209942,0.2095864059
0.2262453766,0.0171212142,0.2368413406,0.2098589313
0.2263734164,0.0175507977,0.2368977802,0.2096641383
0.2256001806,0.0172831558,0.2368177409,0.2097444488
0.2258530356,0.0180464663,0.2367004030,0.2097859226
0.2255794363,0.0171307207,0.2366897982,0.2106744737
0.2263234793,0.0170740020,0.2367635471,0.2109206746
0.2255611253,0.0176564388,0.2367130339,0.2117826593
0.2256271344,0.0176638061,0.2367956203,0.2100421193
