B,FS,K,T
0.2390024036,0.2253288057,0.2492799267,0.2189552416
0.2391997645,0.2236123031,0.2485751699,0.2180425381
0.2389380592,0.2281660101,0.2480754482,0.2178901453
0.2391565381,0.2284629786,0.2495744953,0.2177050613
0.2390661893,0.2277508286,0.2492289820,0.2177680219
0.2390148744,0.2252604851,0.2492499300,0.2189710678
0.2392480315,0.2256758086,0.2484146235,0.2175597539
0.2391384095,0.2302585943,0.2493152511,0.2192575361
0.2392852813,0.2284487290,0.2488266582,0.2200539853
0.2392736104,0.2300578538,0.2489712525,0.2183359273
0.2388297077,0.2277367580,0.2484290665,0.2198923848
0.2380712468,0.2262018180,0.2491288478,0.2175272482
0.2393511348,0.2265484667,0.2488154334,0.2191858537
0.2386101107,0.2256081767,0.2485397192,0.2190680487
0.2397335793,0.2265442599,0.2490166807,0.2178018703
0.2393827728,0.2230458825,0.2485234322,0.2192440393
0.2389889007,0.2254854032,0.2488341492,0.2173657050
0.2391703171,0.2233080433,0.2485117086,0.2188126153
0.2391493794,0.2263808295,0.2491194887,0.2173891591
0.2393351682,0.2258420997,0.2485714143,0.2214057974
0.2393903517,0.2282231126,0.2479337736,0.2176728663
0.2396532906,0.2279343021,0.2491064218,0.2197485646
0.2391135680,0.2278343825,0.2485895608,0.2197931254
0.2390408830,0.2244423301,0.2496249366,0.2182767440
0.2391354040,0.2282861804,0.2490521964,0.2174677294
0.2394239839,0.2282536664,0.2491651603,0.2200184340
0.2390545320,0.2258554441,0.2486166369,0.2183276005
0.2394811566,0.2272234526,0.2488499861,0.2193233673
0.2390458852,0.2256702980,0.2489305553,0.2198757780
0.2391875714,0.2281441339,0.2495499511,0.2169826319
