B,FS,K,T
223052538661438783720783872.0000000000,697580.3236947365,1176026315277834480083009536.0000000000,3773.9014992773
20743007410812933424283648.0000000000,1058237.1742779170,8288460178728447675723677696.0000000000,3073.0647873901
41231374049816279515136.0000000000,377936045868690440192.0000000000,16165546276218920547175445727019008.0000000000,4392.9124570611
10795892215633624579440640.0000000000,55705300760270.9218750000,348373007050111213922942976.0000000000,3985.5837049924
53543407464569796296704.0000000000,1155169885162953999628063735808.0000000000,399348227633620831399051264.0000000000,19999.1596296069
251884207298013877501952.0000000000,1367257.8502923683,720661165150880313359990784.0000000000,2485.1658920891
7155158681763935806291968.0000000000,358907954.5065776706,15418210887764454920800852198293504.0000000000,20821.5219363680
41227325406956358729728.0000000000,159969894342735.6562500000,9179849889181200189126344704.0000000000,5109.8338266165
47580519188052858314449485824.0000000000,6481937144576559735850951245824.0000000000,1161014850876704379082113024.0000000000,1154.2885491343
358345490976144512.0000000000,662612383841077347560084996096.0000000000,1007465772501751927329781926250934995779584.0000000000,6126.6835028404
7581720983521677793528027021312.0000000000,42491693593233.3750000000,974428095104361701471944704.0000000000,2185.1542413486
209699120829290543841280.0000000000,3366292.6310687461,1132284616825460752518217728.0000000000,3264.6225637217
51100684797377577979215872.0000000000,1152087.8071510450,274611977012740820792508416.0000000000,13147.2959370554
12468945057441749720367104.0000000000,820064.5171564383,405339144302396605647028224.0000000000,9097.4770255366
47547486837404873215942066176.0000000000,1529684.4187003330,346449078578734456163532800.0000000000,12833.6208269972
86830395778297452602327040.0000000000,293631.9668471090,1564958811116606927558148096.0000000000,15619.6394892158
10651396172749209549668352.0000000000,1941410.5879944232,10122432499813537764092149760.0000000000,13118.7539287205
704872007470398.8750000000,1551896.9626190723,1249869336847741787678679130993239141646336.0000000000,11794.6359592379
12170303309103612240592896.0000000000,1622027.3968976787,6199561870366893503970017280.0000000000,9550.4740457922
151201344107417172053065728.0000000000,798838.9419554153,1114329919091330900652195840.0000000000,14631.7372983091
199614550513853399040000.0000000000,4065882087128931196296342011904.0000000000,292840025541863891043090432.0000000000,4743.1145851560
54631229025339278622720.0000000000,6305434582827692132542114168832.0000000000,963194693850532805372542976.0000000000,9638.7807372526
109676212160374233278447616.0000000000,69611003851175334350644062453760.0000000000,7397859961722274108602843136.0000000000,1387.7249413570
47560632691873510958856929280.0000000000,33106909.0818452723,892845762478401370122616832.0000000000,4587.4551963938
3040919913277401805619200.0000000000,145619810617178123823002698121216.0000000000,298336457385575949812105216.0000000000,14208.9458269117
138692983624253149544448.0000000000,4540089684240772257473035906318336.0000000000,1175101114435110426495680512.0000000000,1712.3428698810
87920592462574399338315776.0000000000,2131034.1314489730,7138763976570647153993580544.0000000000,4913.7313777365
182361984557875708407224205312.0000000000,11212667231815121089073216749568.0000000000,345562593756372777171943424.0000000000,10285.3352168621
51654881087936187470970880.0000000000,291105478.9718911052,1003382327284008926641651712.0000000000,41210.3396851837
11347132147534600863744.0000000000,5030420885107394068591643983872.0000000000,902431333531516737813479424.0000000000,4216.6662188148
