B,FS,K,T
0.1558843460,41.5231388635,2.4328808906,0.6342796825
0.1475059677,39.4825655768,2.4070383661,0.5059833636
0.1515262316,39.6717750798,2.4356105623,0.6259623066
0.1505429325,41.8224148333,2.4408775329,1.3210560360
0.1473479792,41.0333752155,2.4310524258,0.6250234320
0.1573315785,40.1000029655,2.4349924241,0.6331678292
0.1496818634,41.4462902238,2.4492640901,0.4125960898
0.1448454771,39.5465360810,2.4213454953,2.5216602712
0.1505725205,39.5735465385,2.4369561645,0.6298702998
0.1540879311,42.7755785262,1.1165051016,0.3063930711
0.1495476960,40.8607109146,2.4392656574,0.4507981764
0.1473660553,39.4899331131,2.4325606281,0.6339098243
0.1466284938,39.6135893104,2.4042951500,1.5378173193
0.1507977631,39.6166300467,2.4358893844,0.6331645844
0.1485745575,39.6907917225,2.4362212201,0.6334336766
0.1546687943,41.8480104232,2.4089773515,0.5085600655
0.1512658315,41.4897629434,2.4364485059,0.6318993094
0.1597021339,39.7459879882,2.4394653415,0.6269918245
0.1587153836,39.2117280575,1.5117156702,0.6139684135
0.1505675842,40.9275000093,2.4382536056,0.6303218307
0.1530019085,41.0184271830,2.4107991486,0.5187685712
0.1505442262,39.7894222124,2.4384135691,0.6335854318
0.1487314146,39.3403573302,2.4539907067,0.7268277327
0.1553829636,40.4510151783,2.4362819638,0.6377054702
0.1499954181,41.3109836846,2.4342492178,1.5300021006
0.1513792408,40.9947193185,1.5127772623,0.6070891104
0.1498132718,40.4540594686,2.4126570900,0.5121223673
0.1538452630,41.3682336069,2.4668193236,0.6136542214
0.1556665105,41.9061383235,2.4395239902,0.6363859416
0.1481082867,40.4292035820,2.4284439812,0.6307635127
