B,FS,K,T
0.2275202201,0.1777756986,0.2390809938,0.2095274239
0.2270026863,0.1777368992,0.2389158153,0.2096442234
0.2266759544,0.1818046647,0.2380688509,0.2086918349
0.2271789870,0.1800933301,0.2388847407,0.2110205304
0.2269715222,0.1812192465,0.2386074320,0.2091347062
0.2279530925,0.1797990407,0.2390534768,0.2089392619
0.2268055741,0.1808238150,0.2384931545,0.2092343492
0.2291180366,0.1823535282,0.2384619676,0.2128329907
0.2273953126,0.1791933084,0.2382062180,0.2101120052
0.2241919288,0.1795935749,0.2344262919,0.2092043085
0.2259008538,0.1785118282,0.2383084093,0.2077959570
0.2266173460,0.1788999259,0.2383344145,0.2084243319
0.2278713917,0.1786692121,0.2374917096,0.2107199383
0.2268873261,0.1800224462,0.2382535997,0.2090140537
0.2273770724,0.1800777877,0.2387906040,0.2095177005
0.2292125983,0.1782726193,0.2382751828,0.2092982125
0.2276201619,0.1803587185,0.2382694799,0.2097496702
0.2258178135,0.1792220141,0.2371124039,0.2084090365
0.2263525368,0.1787129585,0.2366796393,0.2088992174
0.2274545645,0.1819905300,0.2366560897,0.2092088941
0.2266984917,0.1811792603,0.2381799461,0.2089368829
0.2274388153,0.1776593397,0.2392878725,0.2101362023
0.2282777171,0.1783962527,0.2378116512,0.2097613678
0.2280802481,0.1795853434,0.2382094688,0.2094886526
0.2286873467,0.1797749772,0.2381260020,0.2109003102
0.2263263837,0.1807115080,0.2371385892,0.2107450788
0.2268999080,0.1793267578,0.2382573483,0.2088886532
0.2268035339,0.1805731224,0.2395753081,0.2100721164
0.2252297563,0.1789336452,0.2368611470,0.2090956410
0.2283992206,0.1798467923,0.2390800674,0.2102753957
