B,FS,K,T
0.63036,306.17379,0.64420,0.65421
2.04397,0.74997,0.74997,0.74997
1.25817,1.12468,1.41851,1.41851
0.07617,0.31772,0.06859,0.07034
0.22656,1.36823,0.22656,0.22323
0.14615,0.33599,0.14517,0.14214
0.69265,66.82319,0.69265,0.76233
0.20833,0.34523,0.20999,0.20025
0.10776,0.11481,0.10722,0.10612
0.22379,0.00000,0.22379,0.21789
0.18987,0.00000,0.19231,0.19733
0.35415,0.00000,0.34860,0.35369
0.19005,0.17106,0.17113,0.17158
0.22899,0.23774,0.23148,0.22957
0.56279,19.35321,0.56275,0.56307
0.56279,19.35321,0.56275,0.56307
16.62042,4.66066,5.08615,8.11315
6.10151,1.77307,1.78574,1.78574
1.46615,87995.17057,1.41674,1.85050
0.67551,769.44218,0.67551,0.71034
0.70195,11.77035,0.75640,0.87950
0.16055,0.19261,0.16944,0.16388
0.42168,1.36490,0.42303,0.41981
1.03076,470.69202,1.03076,1.12601
1.31059,0.91655,1.18933,1.18933
1.19463,1.24729,1.09494,1.25196
0.84625,0.88865,0.78210,0.77288
2.52920,2.33153,1.95561,2.19883
0.33851,0.34374,0.35917,0.36132
0.69722,41.87481,0.68400,0.70126
0.16757,0.18873,0.17193,0.17019
1.67253,283.30487,1.67253,3.98758
1.94379,407.96877,1.94379,6.12224
1.57832,108.37342,1.57832,5.53815
2.00595,147.81395,2.00595,10.93234
0.44511,49.85389,0.43608,0.69150
0.20992,0.40403,0.20992,0.20354
0.31299,0.00000,0.31299,0.30132
0.44548,42.17935,0.44548,0.44548
0.80569,86.16588,0.80569,0.92043
0.37323,0.51016,0.46386,0.37323
0.27860,0.00000,0.27860,0.27211
0.61130,272.92251,0.61779,0.69606
1.17550,243.23557,1.17550,1.28844
0.63942,158.05609,0.49135,0.64790
62827342054280552442707967052087296.00000,15408301166151844845511961960807137280.00000,23420.90683,23420.90683
0.20538,0.36776,0.20538,0.20076
0.12249,0.13888,0.12014,0.12014
0.39892,0.00000,0.39892,0.37880
1.05010,0.69277,0.69204,1.04354
1.29785,0.35556,0.77695,0.85600
0.62864,0.15982,0.46673,0.62065
0.89936,64.51121,0.89936,1.03449
2.33703,177.05044,2.33703,3.40858
4.05812,3.90075,4.05812,5.93576
6.33534,6.33534,6.33534,7.62651
1.16920,83.37699,1.16920,1.53245
2.70175,1370.40605,2.70175,3.97687
5.20633,3472.04364,5.20633,8.83442
8.94490,8.94490,8.94490,11.15704
1.33775,150.83018,1.33775,1.66050
2.82172,2371.92169,2.82172,5.13177
6.52875,14.64650,6.52875,14.64650
10.84472,30.18497,10.84472,14.84453
1.36388,314.76181,1.36388,1.85393
2.01958,174.27322,2.01958,2.96881
4.19600,875.90277,4.19600,6.17641
6.10446,5.53198,6.10446,7.15574
0.71707,234.88149,0.71707,0.92906
1.53039,21867.97517,1.53039,1.84462
4.39148,1136.05356,4.39148,6.41769
8.15762,8.15762,8.15762,9.99424
0.79991,101.15006,0.79991,0.86381
1.94716,1194.63006,1.94716,2.71291
5.11862,4.85117,5.11862,8.68967
8.81611,8.81611,8.81611,10.86244
0.77813,646.14205,0.77813,0.85006
1.49416,128.96010,1.49416,1.94371
3.52980,3.34067,3.52980,4.75218
5.53159,5.53159,5.53159,6.49681
0.51504,4.98448,0.51504,0.51170
1.70891,592.08193,1.70891,2.28920
4.38872,13646.68462,4.38872,6.40183
7.90981,7.90981,7.90981,14.23791
0.44823,5.92298,0.44823,0.44313
1.68545,18593.30879,1.68545,2.28852
4.38986,4.24089,4.38986,6.36795
9.45558,9.45558,9.45558,11.97317
0.50553,9.45039,0.50553,0.50299
0.95173,59.63455,0.95173,1.05365
2.62842,2.46324,2.62842,2.97709
5.33222,5.33222,5.33222,6.90458
0.24315,0.00000,0.27574,0.26776
1.22577,752.55673,1.22577,1.39990
3.78631,3.47152,3.78631,5.26858
6.78087,6.78087,6.78087,10.35419
0.27639,0.00000,0.27639,0.26835
1.25834,290.96859,1.25834,1.48048
4.25805,1972.37408,4.25805,5.92307
8.65355,47.32923,8.65355,10.43843
0.28265,0.00000,0.28265,0.27384
8.68504,8.68504,8.68504,10.57902
0.90083,25.02104,0.90083,1.18268
3.50147,3.33272,3.50147,4.80020
5.51224,5.51224,5.51224,6.50090
13.46792,13.46792,13.46792,13.46792
1.13116,3154.96207,1.13116,1.31755
3.65120,3.40024,3.65120,4.97324
6.93609,6.93609,6.93609,10.03870
20.39709,20.39709,20.39709,20.39709
1.11749,119.06288,1.11749,1.29430
3.64963,3.52228,3.64963,4.87137
7.12934,7.12934,7.12934,10.47370
0.24264,0.21806,0.24235,0.23947
0.22798,0.00000,0.23784,0.23259
3.08491,0.62283,0.52106,0.43731
0.26554,0.00000,0.26554,0.25545
0.94893,44.92592,0.77604,0.94893
0.65434,126.03010,0.65434,0.65249
0.54281,0.80065,0.55314,0.52230
6.90905,0.93620,1.26066,1.26066
0.95514,984.48557,0.94745,0.98118
2.51276,576.62494,1.43184,2.51276
0.78398,4.49791,0.78398,0.78494
0.18278,0.24664,0.19025,0.17952
0.17162,0.17477,0.17018,0.16814
0.17884,0.01261,0.44532,0.43424
0.48750,114.02188,0.47268,0.47484
0.48750,114.02188,0.47268,0.47484
0.50779,0.00004,0.50779,0.50639
0.29079,0.28311,0.28316,0.28482
0.31733,35.46095,0.30568,0.30909
2.34377,2.03776,0.58193,0.58193
0.16771,0.16771,0.16771,0.16771
0.67453,7.34181,0.67453,0.71421
0.32162,0.00000,0.28674,0.33134
0.20354,0.72277,0.72277,0.72277
0.34896,0.71999,0.34276,0.34571
43.07766,1.38639,1.48216,1.48216
0.16416,0.15562,0.15884,0.15884
0.92793,561.95397,0.92793,1.07696
0.31333,0.00000,0.31333,0.30194
1.25175,1.25175,1.25175,1.49603
0.37202,96.36577,0.35349,0.36135
0.39385,45.14395,0.39775,0.41749
0.56976,8.27114,0.56297,0.58823
0.15528,0.19800,0.16623,0.16349
1.19524,808.73678,1.19524,1.46770
0.81038,31.35008,0.81038,0.84430
0.43303,131.92691,0.44448,0.49381
1.99945,0.63281,0.48006,0.42826
0.22931,0.00000,0.23899,0.23132
0.23811,0.00000,0.23982,0.22799
1.45937,1.40335,1.45937,1.71609
0.47674,0.47246,0.48988,0.54019
1.51716,3216.10875,1.51716,1.90658
0.36749,0.00000,0.36749,0.35405
0.17902,0.33018,0.19398,0.18153
0.22360,0.21438,0.22754,0.22754
25.55186,0.20920,0.20920,0.20920
0.25990,0.00000,0.25847,0.25614
0.20014,0.21635,0.20622,0.20199
0.20014,0.21635,0.20622,0.20199
2.30304,692.57159,2.30304,2.30304
0.67446,22.60645,0.67446,0.68488
4.29734,0.51624,0.51799,0.51799
1.01265,0.44626,1.03850,1.01595
1.29207,72.98018,1.29207,1.33412
1.30222,219.44926,1.30222,1.32276
0.42568,0.38277,0.39253,0.40023
0.42377,0.38149,0.38719,0.39570
2.79752,0.40043,1.28951,1.28951
0.21771,0.21458,0.21771,0.21771
0.29785,0.29394,0.31098,0.34461
0.29960,0.28941,0.29960,0.29960
0.11942,0.14158,0.12344,0.12344
0.69973,33334.65641,0.69973,0.76376
0.20923,0.11557,0.18229,0.19888
0.12447,0.15382,0.12788,0.12788
0.54680,16811.38469,0.60237,0.62367
0.83491,63135.36989,0.83491,0.84971
0.98721,44312.17082,0.98721,0.98721
0.80893,0.61343,0.79230,0.87597
0.31994,0.00000,0.32148,0.30922
0.55239,320.87660,0.55239,0.57196
0.13802,0.41242,0.13802,0.13709
0.26887,0.00000,0.26232,0.25333
0.50816,0.07874,0.50880,0.51012
0.06507,0.10725,0.06507,0.06620
0.43816,0.47179,0.44280,0.43153
0.49732,2.02119,0.49732,0.49536
0.92194,25.02931,0.91454,0.95768
0.13280,0.13280,1.62426,75.63977
0.50279,5.95278,0.52347,0.52807
1.55953,0.43105,1.26364,2.04683
0.64132,0.54137,0.60373,0.60373
0.74551,165.34850,0.75686,0.79395
2.03708,0.31176,0.31216,0.31216
19553266930.92028,206227101658.43488,2.58908,2.58908
942.28933,2.57541,2.30000,910178.10524
