B,FS,K,T
3.1919355773,4.3915457723,3.3438963314,1.5534506448
3.1938411950,4.3809608679,3.3493428033,1.5638113858
3.1906671885,4.3731733971,3.3470201747,1.5602307549
3.1900725484,4.3776313215,3.3429337137,1.5572822021
3.2128130290,4.3652326847,3.3692851711,1.5599506722
3.1908293508,4.3625842757,3.3447740149,1.5557676692
3.2007292098,4.3829560141,3.3568419492,1.5640253983
3.2008115042,4.3806628926,3.3597649934,1.5674886374
3.2080569988,4.3787512491,3.3653781408,1.5647044453
3.2063842544,4.3955678688,3.3556501941,1.5618350929
3.2055707402,4.3909539363,3.3628022174,1.5590392854
3.2066951056,4.3719199613,3.3559846787,1.5569927943
3.2016023046,4.3710397734,3.3453387055,1.5608025138
3.1965545603,4.3915840059,3.3537573163,1.5641098870
3.1966703059,4.3715582000,3.3633787684,1.5610772965
3.2000345475,4.3787607222,3.3682168690,1.5548543600
3.2065349646,4.3887364534,3.3704091241,1.5584255661
3.1983150074,4.3798086090,3.3492259629,1.5600868338
3.2118264986,4.3838576533,3.3514275224,1.5749495060
3.1930451829,4.3824284348,3.3556092887,1.5572451571
3.1858086008,4.3910080795,3.3442056135,1.5554074219
3.2142941443,4.3899960440,3.3624207417,1.5615983453
3.1926459716,4.3695888066,3.3486052164,1.5589131977
3.2056078916,4.3797940141,3.3552528355,1.5598399607
3.1952134414,4.3816166625,3.3599411303,1.5548305680
3.1889218181,4.3757550624,3.3553881526,1.5702328868
3.1923487053,4.3810183027,3.3481675954,1.5640874594
3.2112234576,4.3822945886,3.3558145781,1.5576827368
3.1859596034,4.3863742774,3.3500880250,1.5548645477
3.1922899557,4.3689557830,3.3417212304,1.5599185342
