Z,PCAES,SCG,FS,XB,B,K,T,FH,AWCD
0.2759003829,0.1185635252,0.0316535691,0.4171466943,0.3166573157,0.1806796658,0.1625857255,0.1789944161,0.0421738998,0.1140997759
0.2759003829,0.1189959625,0.0316535691,0.4154066507,0.3165366920,0.1817694797,0.1647653228,0.1789941139,0.0421738998,0.1140997759
0.2759003829,0.1185635252,0.0316535691,0.4128744267,0.3168857928,0.1811258196,0.1638698186,0.1794360213,0.0421738998,0.1140997759
0.2759003829,0.1190022864,0.0316535691,0.4158240572,0.3166744888,0.1812277294,0.1633025326,0.1789749455,0.0421738998,0.1140997759
0.2759003829,0.1197491234,0.0316535691,0.4161191053,0.3159807188,0.1811064150,0.1637294151,0.1805399369,0.0421738998,0.1140997759
0.2759003829,0.1185635252,0.0316535691,0.4179621140,0.3170657602,0.1806455434,0.1641244052,0.1793116242,0.0421738998,0.1140997759
0.2759003829,0.1197133385,0.0316535691,0.4170160374,0.3155811292,0.1808409253,0.1670882091,0.1803345879,0.0421738998,0.1140997759
0.2759003829,0.1185635252,0.0316535691,0.4206490979,0.3173361203,0.1805105024,0.1625118737,0.1796545169,0.0421738998,0.1140997759
0.2759003829,0.1203311880,0.0316535691,0.4139396883,0.3174295145,0.1812907060,0.1652172723,0.1805339502,0.0421738998,0.1140997759
0.2759003829,0.1190913932,0.0316535691,0.4260225511,0.3157492503,0.1811011461,0.1644859520,0.1797505402,0.0421738998,0.1140997759
0.2759003829,0.1200960653,0.0316535691,0.4210587291,0.3174081029,0.1827069645,0.1666125797,0.1810606338,0.0421738998,0.1140997759
0.2759003829,0.1185635252,0.0316535691,0.4132686790,0.3157164298,0.1820230821,0.1641125190,0.1796693404,0.0421738998,0.1140997759
0.2759003829,0.1185635252,0.0316535691,0.4134656339,0.3167621370,0.1824204996,0.1648950236,0.1790733288,0.0421738998,0.1140997759
0.2759003829,0.1199738209,0.0316535691,0.4160738797,0.3166561794,0.1867662692,0.1665530917,0.1824003341,0.0421738998,0.1140997759
0.2759003829,0.1196486333,0.0316535691,0.4143022574,0.3158504997,0.1809519439,0.1640479553,0.1790771316,0.0421738998,0.1140997759
0.2759003829,0.1185635252,0.0316535691,0.4182067127,0.3162154333,0.1816461034,0.1642295134,0.1791413089,0.0421738998,0.1140997759
0.2759003829,0.1194646710,0.0316535691,0.4146228297,0.3166153849,0.1809151065,0.1641266337,0.1790355089,0.0421738998,0.1140997759
0.2759003829,0.1195880573,0.0316535691,0.4175945409,0.3164821553,0.1825483371,0.1642030944,0.1802919987,0.0421738998,0.1140997759
0.2759003829,0.1197465741,0.0316535691,0.4125648847,0.3174319908,0.1809532625,0.1637048709,0.1792287246,0.0421738998,0.1140997759
0.2759003829,0.1185635252,0.0316535691,0.4151959782,0.3172645497,0.1817742718,0.1649177564,0.1812783310,0.0421738998,0.1140997759
0.2759003829,0.1185635252,0.0316535691,0.4158761744,0.3171436423,0.1806745281,0.1658774719,0.1798872444,0.0421738998,0.1140997759
0.2759003829,0.1196270899,0.0316535691,0.4158067349,0.3158682670,0.1819103532,0.1649679021,0.1810663562,0.0421738998,0.1140997759
0.2759003829,0.1196614275,0.0316535691,0.4158817179,0.3159013083,0.1818347910,0.1652665307,0.1795237692,0.0421738998,0.1140997759
0.2759003829,0.1185635252,0.0316535691,0.4139077383,0.3159743473,0.1819071859,0.1640125193,0.1800600125,0.0421738998,0.1140997759
0.2759003829,0.1196209385,0.0316535691,0.4152934141,0.3164963041,0.1806990020,0.1634886028,0.1788437976,0.0421738998,0.1140997759
0.2759003829,0.1190185872,0.0316535691,0.4138549706,0.3175971421,0.1832158450,0.1669268859,0.1810781370,0.0421738998,0.1140997759
0.2759003829,0.1190064023,0.0316535691,0.4160030051,0.3168529452,0.1825535263,0.1636798002,0.1796788964,0.0421738998,0.1140997759
0.2759003829,0.1185635252,0.0316535691,0.4186539606,0.3163782412,0.1815786159,0.1658230919,0.1794627669,0.0421738998,0.1140997759
0.2759003829,0.1185635252,0.0316535691,0.4174273551,0.3168821078,0.1818564197,0.1641908861,0.1807772791,0.0421738998,0.1140997759
0.2759003829,0.1190179044,0.0316535691,0.4162308011,0.3170520101,0.1806895405,0.1627286262,0.1789708098,0.0421738998,0.1140997759
