Z,PCAES,SCG,FS,XB,B,K,T,FH,AWCD
1.0996656993,1.0593548432,inf,0.5962506623,1.0379126817,1.3958519612,1.9337328539,1.3561300734,0.2920884286,1801439850948.6030273438
0.6091264802,0.8329977035,2702159776423.1767578125,0.7806487579,0.6847037256,1801439850949.5698242188,1.7604219762,1.6227666595,1351079888211.4616699219,2.4590564859
0.3875859100,0.7862068753,inf,0.7867452777,0.3995807410,1.5066760032,1.7318938055,1.2653190485,0.3865356502,0.6739069655
0.5303852736,0.7760833772,1.0158221288,0.9421326387,0.5915932117,1801439850949.6694335938,1.8902821982,1.9393447156,0.4773930867,0.4793178374
0.4256351750,0.8433751286,0.8306234858,17001088593324.3593750000,0.4405232378,1.9888573213,1.4419606187,1.4502301611,0.3946266847,0.4814534881
0.4222698805,0.6166475970,inf,1.3697459348,0.4316403399,1.3385920342,1.8843036511,1.1752798939,0.4086836554,0.8362216645
0.4773089629,1.0586526093,1.4591169445,2.1371098992,0.4991140823,1.2791690810,inf,1.6842184205,0.3867157225,4503599627371.7607421875
0.4099620242,0.6723681519,inf,2.4354899951,0.4183222658,inf,1.7226162957,1.9303385697,0.2416826343,inf
0.9143768477,0.6939527555,inf,1.2295880771,1.3757885508,1.5266284330,1.5548681487,1.6847670472,0.3548811703,0.5990543540
0.5371604020,1.5380788005,0.8148034417,0.8687481422,0.5148994560,1.5475892922,1.3587407297,1.7913249866,0.5922195614,0.4263087161
0.6687668254,0.8248631317,1.1542659790,0.9917560212,1.1055262678,1.8930810582,2.2116855249,1.9221603704,0.6209986490,1.1162113683
0.4368443915,0.7454337507,1.0177265247,0.6337098864,0.4660480332,1.4977483992,900719925476.1984863281,1.0927768713,0.5494003769,1.1488472340
0.4309263001,6305039478319.6669921875,1351079888212.9926757812,1.6089896537,0.4434019249,1.4689941451,1.3209859044,1.2893077611,1.0177780906,0.5573483454
0.5349020510,1.0887249139,2.8289218945,1.5361423828,0.5367970759,4.3684951506,inf,2.1128149200,0.3603571898,0.8699991783
0.4772615862,1.2995399648,1.1348233797,0.7098814529,0.4929249609,2.1965786053,1.4505396851,1.5940906012,1.0995410440,0.5401917236
0.4410434632,1.2624633461,inf,0.7509307042,0.4556608675,1.8858259108,1.3966031193,1.3819009176,inf,0.7412395924
0.4678838767,5404319552846.4433593750,1.0685217790,0.7752032803,0.4787322640,inf,1.3652541037,1.2605783025,0.5664319717,0.5685842813
0.6693378334,1.0055429860,1.7896672730,1.0381125483,0.7644179333,5404319552845.7861328125,1.3200603903,1.2759127620,0.9678652868,0.6955683893
0.4614376251,0.8815478552,1.0521676675,0.7658873309,0.4672865619,inf,1.7678659948,1.0365743578,0.8392406793,1.1649730266
0.4831045175,inf,1.4758006637,3.3137343666,0.4944349048,1.4697173755,1.5053762019,1.5670422198,0.3952702460,1.5083255553
0.4226950675,0.9642933747,0.9811775206,0.7760058110,0.4331794555,1.2805783203,1.5064693083,1.5313956091,0.8421834025,0.5396619170
0.8618334025,1.2038119931,1801439850949.2631835938,1.0982680230,0.8567277140,2026619832318.6811523438,inf,1.3657327533,0.3742111831,0.5603819586
0.5938124674,1.6876679192,0.9846394698,1.8056180354,0.6163966949,1.3818558334,1.7106915831,1.6476989584,0.4311725640,0.6625901194
0.5658014815,2702159776423.6303710938,1.1423428050,0.5699103018,0.6632428000,900719925475.6416015625,1.5121563494,1.2993215443,0.3279453591,1.4907900083
0.4619072909,0.7055108816,1.4653793042,0.9454476475,0.4727292782,1.1338316981,2.0552853050,1.5663982934,0.3253711720,1.0801919859
0.4898141785,1.4535344744,1.3978562930,0.7134622875,0.5066474787,1.9189568808,inf,1.3960497311,0.2735182915,0.6492850199
0.7501339929,1.3636192866,1.7726250311,0.5107598488,0.7142302011,2702159776423.8793945312,1.7564959756,1.8313407610,0.2546299929,0.8766845599
0.4023166273,1.2248082459,0.8547837615,0.9621560256,0.4134352583,1.7893669166,2.0358641290,1.1106473807,0.3883141139,0.5671052353
0.4319795657,0.8038257676,inf,5.6135032530,0.4448718604,2.9915429259,2.2413804775,1.5954589150,0.4433774573,0.6075852342
0.5005742017,1.0155945305,1.2057477009,0.8592751362,0.5109601365,1.4085764693,2.1781729102,1.0800062543,0.5105245910,0.8997778851
