Z,PCAES,SCG,FS,XB,B,K,T,FH,AWCD
8.3394962711,0.7202146015,0.0475679042,3.2487017252,7.9663634969,0.1909853508,0.1769889533,0.1833032596,0.2796538984,0.6416418255
8.3387159039,0.7256191901,0.0471989275,3.2537704338,7.9674959225,0.1915344332,0.1776227561,0.1839901766,0.2800225074,0.6351319582
8.3374757995,0.7203350251,0.0474826598,3.2363359770,7.9686904833,0.1914556157,0.1776585483,0.1838198267,0.2794299811,0.6351006702
8.3334445143,0.7216675547,0.0475761309,3.2312701036,7.9640881820,0.1916046174,0.1771334544,0.1833075530,0.2790189560,0.6379661209
8.3498489349,0.7205507135,0.0471530711,3.2303090862,7.9760416096,0.1911550439,0.1772156299,0.1840406076,0.2798561719,0.6411243128
8.3273727582,0.7206235345,0.0474239056,3.2472298732,7.9611361096,0.1912444343,0.1775283540,0.1834925370,0.2788040331,0.6372550000
8.3640686880,0.7252331364,0.0471958362,3.2386440514,7.9929177588,0.1913171645,0.1776051318,0.1839433870,0.2790298788,0.6394014645
8.3296804244,0.7179591215,0.0474227750,3.2506471992,7.9632280729,0.1912459982,0.1772241064,0.1841204721,0.2788492165,0.6430865998
8.3727166341,0.7197978069,0.0477432866,3.2386883439,8.0057357720,0.1918800801,0.1778942158,0.1841875753,0.2825786376,0.6389072691
8.3421339349,0.7223570395,0.0473169732,3.2800720913,7.9738066022,0.1919063409,0.1773537959,0.1837551108,0.2797151122,0.6322084484
8.3322973641,0.7259500002,0.0470341667,3.2554910511,7.9661444104,0.1924156567,0.1782213220,0.1842054164,0.2812429550,0.6324128076
8.3707683518,0.7229453234,0.0471513298,3.2359773004,7.9985747646,0.1918031585,0.1778733038,0.1840167017,0.2784098207,0.6396315814
8.3437498972,0.7206028057,0.0474082322,3.2366291817,7.9752974641,0.1916689304,0.1776860026,0.1838834011,0.2794939252,0.6408699127
8.3696781312,0.7276311257,0.0476245874,3.2266871717,8.0100004889,0.1943945637,0.1795635412,0.1860549830,0.2822631861,0.6433127958
8.3484110005,0.7251311718,0.0473834179,3.2382858579,7.9799478178,0.1914864850,0.1771666537,0.1836943413,0.2790839054,0.6384000490
8.3332139968,0.7206657561,0.0473357900,3.2490216188,7.9653362487,0.1914709429,0.1772162334,0.1833834310,0.2788470599,0.6389700418
8.3532881085,0.7241862986,0.0472246183,3.2345280544,7.9929971208,0.1919740467,0.1774333610,0.1835288655,0.2795956514,0.6395486492
8.3527839179,0.7269352326,0.0473632227,3.2561896053,7.9810371246,0.1921271603,0.1776074595,0.1840321264,0.2788329325,0.6368048109
8.3550054789,0.7239888318,0.0471398162,3.2319667279,7.9866146585,0.1915170255,0.1777447417,0.1832353981,0.2781774546,0.6368694407
8.3455189013,0.7191289060,0.0472814358,3.2385152178,7.9780135320,0.1923333097,0.1783003881,0.1843949926,0.2778925153,0.6324262643
8.3293183349,0.7187662369,0.0472496951,3.2394261731,7.9564135576,0.1916794041,0.1779730682,0.1836688509,0.2778893425,0.6333177810
8.4057829563,0.7220083698,0.0473165312,3.2548172312,8.0294138799,0.1923585497,0.1785293320,0.1845654273,0.2794905514,0.6435691525
8.3613405371,0.7285343515,0.0472461974,3.2407430113,7.9822828663,0.1914565841,0.1778881519,0.1840333199,0.2782999937,0.6357875511
8.3302994628,0.7198662528,0.0472012728,3.2348102931,7.9624105300,0.1916719150,0.1774777791,0.1836051704,0.2806833414,0.6381947354
8.3432306694,0.7318687767,0.0472745294,3.2494890131,7.9720923770,0.1909772721,0.1770347863,0.1831923213,0.2806854176,0.6404544359
8.3766932959,0.7211082229,0.0471951624,3.2329650444,8.0079358169,0.1937072550,0.1790051169,0.1844011359,0.2790825267,0.6345493785
8.3358314264,0.7256970190,0.0473129078,3.2371203393,7.9595713235,0.1914750732,0.1771007173,0.1834364471,0.2802073815,0.6366749656
8.3326529906,0.7221060193,0.0472820600,3.2431977202,7.9641179322,0.1913244343,0.1781412627,0.1837606860,0.2790401874,0.6336190950
8.3487896066,0.7183944460,0.0473133382,3.2338641562,7.9820099815,0.1919824719,0.1780554825,0.1843208168,0.2785911257,0.6308426059
8.3346301117,0.7233532204,0.0472104536,3.2535246430,7.9665855514,0.1911197611,0.1769046626,0.1831093135,0.2803239138,0.6359814880
