Z,PCAES,SCG,FS,XB,B,K,T,FH,AWCD
1.1595975422,9.0496289777,inf,2.5163153061,1.1610625295,1.1777389799,1.1892658011,1.2640798545,17.8329633111,36203937004478.3750000000
1.1595708506,9.1194126135,3107483742886.9208984375,4.1266758782,1.1696042820,650519946177.1375732422,1.4928856761,1.7815453778,19478068388388.1015625000,3.8913394061
1.1649659177,7.3753878103,inf,1.4944902674,1.1686444698,1.4704244347,1.3944846521,1.2990450843,12.9850507742,4.0780774248
1.1581946047,8.1324273666,1.8851460592,1.9190080097,1.1651875237,650519946177.2188720703,1.2013558104,1.9250167888,13.8595432411,3.6327994089
1.2055141175,9.0335053316,1.3332976741,12240408487225.4277343750,1.2070959139,1.6393734095,1.0407058457,1.5198152184,11.0139481327,4.7303855211
1.0615008832,8.6012548343,inf,4.2932040725,1.0626104807,1.1725521234,1.2989850778,1.1197879523,18.9844805348,4.8518819708
1.3248962191,12.3725613142,1.8216252713,7.7330954517,1.3343635491,1.1292527445,inf,1.7248496542,11.4822458274,33201537252897.7304687500
1.1018832471,5.1609756514,inf,2.5250065551,1.1031735375,inf,1.1842028274,1.7066706339,15.0267395847,inf
1.5673156975,8.2155414808,inf,2.5223083999,1.7478906444,1.2685257313,1.3188482509,1.7198895608,20.4527213159,6.3625925501
1.2048072571,17.8774556418,1.6446954899,7.7525904284,1.2059309223,1.8038644778,1.1279808120,1.6150153548,43.4906769842,3.0491953008
1.1205891117,10.6043369567,1.2775935346,3.7057513914,1.1730120533,1.7285884017,1.6045759869,1.6282542176,21.2936114968,6.3550854678
4.5252395855,7.5672735051,1.2829073862,2.4811748752,4.2650529212,1.3826354306,2321855807890.3388671875,1.1094474174,16.4212490184,7.9500364076
1.1964590383,15147106746731.1289062500,1553741871444.8159179688,4.3028820524,1.1988467349,1.4783133850,1.2312852224,1.3057344667,10.0018179933,6.9862618820
1.5335331204,15.6190381686,3.2892837302,1.6066409363,1.5348686785,4.8075494639,inf,1.9982960536,17.5050087308,10.5095829180
1.2057545090,11.8706568826,1.9723824864,1.6347454971,1.2101405215,1.6223508179,1.0931489012,1.7248105260,39.5156743440,4.2878677624
1.1489875942,12.0657079246,inf,1.6114501854,1.1538743212,2.0272750176,1.2025400888,1.6898648300,inf,7.1704282649
1.1974258783,38300612831016.3515625000,1.7768951789,2.2334619613,1.2001132261,inf,1.2233257441,1.2319861807,19.1286278192,4.8467807650
1.2255805825,12.0491658367,2.2310028349,7.2594494518,1.2370916443,7656119366531.0097656250,1.3057538624,1.1912033670,10.9305986733,5.1224572186
1.1831618355,10.3644898489,1.5941980141,1.4553511357,1.1811049531,inf,1.4703097992,inf,15.7145896160,12.6782398245
1.1259630035,inf,2.0367022499,3.1503439967,1.1278985865,1.6096656152,1.6128773782,1.4342396806,9.6104580036,4.2613561041
1.0694831160,8.0080805046,1.6781092701,2.3954304164,1.0696134494,1326059890282.5468750000,1.4558876099,1.6211075098,10.2062413316,3.5225075747
24.1785788997,11.1054661287,2071655828591.8522949219,2.8149852816,9.6609477729,3327659724669.9306640625,inf,1.3623878685,39.5978082619,10.9571262576
1.2433622186,17.9642907126,1.6613479665,10.0068066853,1.2455773563,1.2465776365,1.3714014865,1.5868884302,16.8923079457,5.0633963591
1.1397177409,19150306415506.0781250000,1.5838483601,1.3235621157,1.1487136329,325259973089.2337036133,1.1645313165,1.2231978566,20.8511256799,15.3298374960
1.4457545796,8.7679579908,1.5490705896,3.3630674031,1.4524051212,1.1849592880,1.2428128449,1.2877945773,15.7602651031,5.0755569321
1.4113153538,8.5271346098,1.9022545093,2.7411422989,1.4172544406,1.6808762691,inf,1.4813533225,34.8456876034,3.9336694479
1.3229602034,11.4472760725,2.0097074841,1.1543803719,1.2885067342,4653719614950.7832031250,1.2873340430,1.5285754918,18.0224136110,11.7573722769
1.0860343890,11.3983674084,1.3608884214,13.0921218873,1.0870557393,1.3252192052,1.7747605782,1.1324932629,11.7930680347,3.2551416073
1.2550669645,5.9710221846,inf,2.4927016525,1.2576956355,2.3876072899,2.9569041184,1.5639790326,21.3692990656,2.8740129890
1.1127425220,10.7112809034,1.4365371531,3.9701458027,1.1129416353,1.2126416142,1.3369159024,inf,24.3275334946,6.8122242893
