Z,PCAES,SCG,FS,XB,B,K,T,FH,AWCD
1.1579190366,1.0918722104,1.1272415142,1.0700664699,1.1598178848,1.0239985210,1.0475653068,1.0144924560,1.0652325259,1.0797154673
1.1569834249,1.0816546877,1.1246249923,1.0709677974,1.1589676780,1.0374796759,1.0649034795,1.0380987947,1.0462397202,1.0829486870
1.1574978123,1.0833718655,1.1313573014,1.0662287908,1.1596407074,1.0349401410,1.0572440823,1.0281170252,1.0666358489,1.0768433681
1.1565235804,1.0801861699,1.1322095748,1.0823442581,1.1585322543,1.0328500638,1.0547295683,1.0174034380,1.0475049935,1.0707587484
1.1597941919,1.0909579639,1.1302607947,1.0677352888,1.1618482740,1.0273037038,1.0532581494,1.0399400442,1.0507585000,1.0717698110
1.1556794649,1.0787319640,1.1270819346,1.0786429381,1.1577435866,1.0342284562,1.0669626561,1.0271960690,1.0656501186,1.0744202782
1.1618884041,1.0847134559,1.1247169562,1.0784072843,1.1640711574,1.0331020670,1.0724958724,1.0379378657,1.0451434531,1.0768685364
1.1559837854,1.0830139640,1.1287764442,1.0664549608,1.1580311323,1.0251914232,1.0518343209,1.0333219775,1.0430509680,1.0853679150
1.1635802207,1.0897083964,1.1326326814,1.0746405578,1.1657716495,1.0540153043,1.0718496099,1.0466244337,1.0764538401,1.0783622770
1.1580879125,1.0976634484,1.1457397749,1.0702698572,1.1601722692,1.0428232722,1.0547226491,1.0339803418,1.0529001255,1.0774732410
1.1567994102,1.0733169518,1.1341068346,1.0717768004,1.1590393937,1.0540250902,1.0806093651,1.0556307307,1.0478111805,1.0852122278
1.1633573493,1.0951588902,1.1131724557,1.0992809176,1.1657914126,1.0494323357,1.0704869103,1.0451700584,1.0548136619,1.0835790190
1.1576757116,1.0817524004,1.1343465773,1.0728776031,1.1597417394,1.0457858584,1.0712028559,1.0385602857,1.0525516345,1.0797494898
1.1617298963,1.0813007288,1.1214356101,1.0650909735,1.1640446661,1.1363954322,1.1107417912,1.1130058097,1.0594875422,1.0751012341
1.1601129990,1.1022370750,1.1474363795,1.0682367118,1.1621106090,1.0477071079,1.0532907516,1.0327348266,1.0460110031,1.0822925980
1.1572960864,1.0907878414,1.1444770173,1.0670178117,1.1594585623,1.0354729622,1.0555119318,1.0199473280,1.0519499607,1.0828913400
1.1605492497,1.0743542650,1.1295631878,1.0726877441,1.1628016061,1.0393149176,1.0656475663,1.0232807935,1.0631190529,1.0794893576
1.1601513577,1.0916365769,1.1212987378,1.0713973446,1.1621151164,1.0571636991,1.0615588033,1.0493618580,1.0523664852,1.0982803521
1.1600137294,1.0916052627,1.1399916361,1.0664719671,1.1619914254,1.0326306861,1.0574550535,1.0162823117,1.0554460176,1.1119892400
1.1581166965,1.1054760310,1.1362119588,1.0667133117,1.1602408556,1.0522601584,1.0753350659,1.0680129005,1.0496509572,1.0879466666
1.1558874157,1.0821356629,1.1588477266,1.0694806852,1.1578957361,1.0388232847,1.0587430407,1.0315426439,1.0420579258,1.0883841603
1.1849001781,1.0670229923,1.1107127231,1.0824548682,1.1742989822,1.0584985274,1.0914977817,1.0579707278,1.0393161417,1.0943790368
1.1613286125,1.1048159414,1.1266022019,1.0785428441,1.1631311299,1.0365134446,1.0624867814,1.0450241603,1.0466127602,1.0913343509
1.1565766147,1.0940976820,1.1352148296,1.0659963277,1.1587735900,1.0571164118,1.0722306117,1.0403904537,1.0620243922,1.0923513922
1.1593972561,1.0808261331,1.1337893793,1.0775461097,1.1615277817,1.0254766175,1.0473937655,1.0129133276,1.0608506732,1.0650005947
1.1627735494,1.0708437598,1.1466004241,1.0770186741,1.1649340943,1.0925665690,1.1101567563,1.0628800778,1.0483140763,1.0834307094
1.1575316256,1.0959474193,1.1496111706,1.0656032078,1.1593651902,1.0366135278,1.0530128500,1.0233527363,1.0514455703,1.0874477398
1.1571035781,1.0949063046,1.1307220716,1.0685451500,1.1591214469,1.0413073956,1.0750205642,1.0304689205,1.0435206282,1.0822800651
1.1587278326,1.0907885580,1.1361320233,1.0702400637,1.1608637286,1.0538976025,1.0824379312,1.0562989713,1.0472564114,1.0910469836
1.1572165404,1.0856044035,1.1225880169,1.0809942319,1.1592108884,1.0289685845,1.0519955133,1.0119476538,1.0529434492,1.0732279844
