inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
10572607956696.3925781250,9913058121785.3203125000,8919834945909.8437500000,9384883102398.1250000000,8864837244992.1718750000,9289598628995.3261718750,10652077779960.0644531250,9473652323522.2031250000,7248933275938.8574218750,11165847652605.6679687500,14871915528732.3789062500,14874885085162.7597656250,11491597008356.8320312500,12055431292546.0253906250,12548480699630.7050781250,12548480699630.7109375000,12548480699630.6855468750,12548480699630.7304687500,11789151347564.5820312500,13627437161237.5800781250,13627437161237.5800781250,13627437161237.5800781250,13627437161237.5800781250,13627437161237.5800781250,11590097448385.9746093750,13138732695029.1621093750,13138732695029.1621093750,13138732695029.1621093750,13138732695029.1621093750,13138732695029.1621093750,11531309558523.0878906250,12967460320785.6054687500,12967460320785.6054687500,12967460320785.6054687500,12967460320785.6054687500,12967460320785.6054687500
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
4.6109905043,4.4469425815,3.9686821204,3.8680055832,3.7296944741,4.6868960911,4.5853439818,4.0096023245,3.5233922505,4.6643306652,5.6575662345,5.6585388682,4.7305230941,4.4839527246,4.9360588641,4.9360588641,4.9360588641,4.9360801879,4.8853776147,5.3679061298,5.3679061298,5.3679061298,5.3679061298,5.3679061298,4.9005745621,5.4222747312,5.4222753228,5.4222695229,5.4222635213,5.4222688051,4.9128737869,5.4568669499,5.4568669499,5.4568510967,5.4568669499,5.4568750691
3.3669063508,3.2528018315,2.8337013089,2.7542312113,2.4092924864,3.7522277742,3.3234595405,2.8921489194,2.4415422947,3.5266350416,4.3314122240,4.3323552750,3.5242867490,3.3439026328,3.6143179865,3.6143179865,3.6143179865,3.6143179865,3.6538248699,4.0083547729,4.0083547729,4.0083547729,4.0083547729,4.0083547729,3.6589987844,4.0326386374,4.0326386374,4.0326386374,4.0326386374,4.0326386374,3.6587995011,4.0340382675,4.0340382675,4.0340382675,4.0340382675,4.0340382675
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
5.0109802710,4.7245424906,3.8413106229,3.4560302495,3.1019768527,5.1657252168,4.8732751176,3.8746134000,2.6614686916,4.9493715001,5.7071388855,5.7067580815,5.1076402843,4.9235191180,5.0266870633,5.0266870633,5.0266870633,5.0266870633,5.2988426027,5.7805363520,5.7805363520,5.7805363520,5.7805363520,5.7805363520,5.3424683256,5.9311158217,5.9311242131,5.9311230382,5.9311238909,5.9311212753,5.3643566421,6.0005727347,6.0005727347,6.0005727351,6.0005727347,6.0005727351
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
4.0117514095,3.8352631845,3.2774048212,3.4197795483,3.6134739950,4.6022233979,3.9316759225,3.3852890189,2.9945910699,3.9396728175,4.6560684556,4.6567909617,4.1401419788,3.9986978147,4.3866493832,4.3866493832,4.3866493832,4.3866493832,4.2790615722,4.6940145669,4.6940145669,4.6940145669,4.6940145669,4.6940145669,4.3016126642,4.7607059407,4.7607059407,4.7607099190,4.7607059407,4.7607099190,4.3018664841,4.7613032546,4.7613032546,4.7613032546,4.7613032546,4.7613032546
