Political_system,Age,Time_of_survey,Schooling,Region,binaryClass
0,0,1991,0,0,P
0,0,1991,1,0,P
0,0,1991,2,0,P
0,0,1991,3,0,P
0,0,1991,4,0,P
0,0,1991,0,1,P
0,0,1991,1,1,P
0,0,1991,2,1,P
0,0,1991,3,1,P
0,0,1991,4,1,P
1,0,1991,0,0,P
1,0,1991,1,0,N
1,0,1991,2,0,N
1,0,1991,3,0,N
1,0,1991,4,0,N
1,0,1991,0,1,P
1,0,1991,1,1,P
1,0,1991,2,1,N
1,0,1991,3,1,P
1,0,1991,4,1,N
2,0,1991,0,0,P
2,0,1991,1,0,N
2,0,1991,2,0,N
2,0,1991,3,0,P
2,0,1991,4,0,P
2,0,1991,0,1,P
2,0,1991,1,1,P
2,0,1991,2,1,N
2,0,1991,3,1,P
2,0,1991,4,1,P
3,0,1991,0,0,P
3,0,1991,1,0,P
3,0,1991,2,0,P
3,0,1991,3,0,P
3,0,1991,4,0,P
3,0,1991,0,1,P
3,0,1991,1,1,P
3,0,1991,2,1,P
3,0,1991,3,1,P
3,0,1991,4,1,P
0,1,1991,0,0,P
0,1,1991,1,0,N
0,1,1991,2,0,N
0,1,1991,3,0,P
0,1,1991,4,0,P
0,1,1991,0,1,P
0,1,1991,1,1,P
0,1,1991,2,1,P
0,1,1991,3,1,P
0,1,1991,4,1,P
1,1,1991,0,0,P
1,1,1991,1,0,N
1,1,1991,2,0,N
1,1,1991,3,0,N
1,1,1991,4,0,N
1,1,1991,0,1,P
1,1,1991,1,1,N
1,1,1991,2,1,N
1,1,1991,3,1,P
1,1,1991,4,1,N
2,1,1991,0,0,P
2,1,1991,1,0,N
2,1,1991,2,0,P
2,1,1991,3,0,P
2,1,1991,4,0,P
2,1,1991,0,1,P
2,1,1991,1,1,N
2,1,1991,2,1,N
2,1,1991,3,1,P
2,1,1991,4,1,N
3,1,1991,0,0,P
3,1,1991,1,0,P
3,1,1991,2,0,P
3,1,1991,3,0,P
3,1,1991,4,0,P
3,1,1991,0,1,P
3,1,1991,1,1,P
3,1,1991,2,1,P
3,1,1991,3,1,P
3,1,1991,4,1,P
0,2,1991,0,0,P
