B,FS,K,T
298601.3738601481,25899.5799535493,1713.9999998671,18678.0212596655
228585.6473336131,6437.2291473363,1416.3046955276,18833.8186133918
371069.8856783848,43217.0147883060,1574.6377041474,18674.2548678534
121733.9178739470,25184.2815715785,1751.5977414777,18982.5523244549
131537.3015748229,23951.3771450454,1569.0150649200,18764.2618593652
289691.0827539447,3830.5426231116,1450.7311690276,18417.8513198507
193558.7040629211,20960.9985175522,1667.5014430107,18859.8939292693
125805.8030360291,23798.4687495064,1758.9413195229,19039.4308474598
188548.6542154861,12465.0425399968,1384.1312384097,19334.1680800454
109827.2832184903,4675.4938016634,1590.0511069571,18846.7885287153
88551.3855307516,12312.3705502033,1671.0034760260,18915.9306619444
173928.7531609004,8964.4614137559,1761.3724342228,18957.1428809835
116415.4241975500,2846.9917815671,1300.5509170648,18800.3303869243
140892.5173532575,7878.1377401516,1636.3857415753,19111.2462577423
106054.1416432976,13571.2903525703,1659.8934105774,18478.5152745388
357321.8613470697,21902.9880230462,1441.1747909348,18749.5907593065
112547.3507648938,10975.3931561398,1332.3171371254,18768.8671058434
202674.7169025476,17533.3281887400,1801.7368920904,18232.7699339770
162868.9968606091,8809.6748769730,1714.9208707498,18789.0497056318
115789.5105047158,12704.1775470307,1613.4449653953,19391.5395052454
107862.2974325358,11055.6449799479,1253.4543233800,19150.2104710331
142952.7423334093,30570.1158632759,1564.3754613960,18911.4024391053
154234.5164486741,5234.0052703753,1415.9768668682,18602.3331498221
109674.6269295625,21731.8756590567,1577.4250245924,18799.3265581210
119986.4404064531,4131.3317406772,1727.4916045916,19279.5627017001
182713.4771072815,12507.5106878964,1434.6390881333,18941.7252859335
176264.4916065829,6504.6187702777,1317.3659126290,18977.7424714446
159883.8337424055,12023.2544326151,1488.1943086935,19273.4341406577
117837.3978947218,9658.1421996428,1598.3594582315,19143.3032614858
129413.5312804334,10440.8604160681,1585.4485481084,18864.7569383615
