B,FS,K,T
1.1992352164,1.3443915617,1.0778906176,1.2093666314
1.1724897145,1.3763075890,1.0736780350,1.2047086537
1.2316250898,1.3207004902,1.0748934794,1.2359627017
1.2432618780,1.3177082362,1.0368854893,1.2182363164
1.2066541048,1.3874814890,1.0868653057,1.2189476816
1.1983775944,1.3484323039,1.1286481954,1.1939078622
1.1871234407,1.3433680630,1.0236254983,1.2228372883
1.2473997316,1.3597796702,1.1006992325,1.2071343034
1.1804940385,1.3552006161,0.9727620055,1.2336540582
1.2495828128,1.3456693127,1.2777562340,1.2487570228
1.2717486526,1.3587521375,1.1685075212,1.1968989122
1.1608818457,1.3361476992,1.1070159600,1.2289993543
1.1875701639,1.3486752263,1.1165852830,1.2110666242
1.2994510881,1.3321103290,1.1405412286,1.2554026571
1.2160163173,1.3396568912,1.0504335510,1.2287597838
1.1696084788,1.3730335936,1.2372270780,1.2003989922
1.2726220749,1.3545180543,1.1245387598,1.1945096445
1.2481698447,1.3890597745,1.1939037464,1.2314166254
1.2667127173,1.3627053465,1.0272249605,1.2225993439
1.1837767844,1.3523199963,1.0863419840,1.2080893045
1.1805882201,1.3775248212,1.0061772209,1.1986632007
1.2631431393,1.3241839275,1.0242176839,1.2040312922
1.1803931891,1.3239865172,1.0647277534,1.2133788585
1.2427039010,1.3748622113,1.0594529899,1.2164334238
1.2565692943,1.3253503794,0.9579236529,1.2589126485
1.1970577964,1.3350123246,1.1484192390,1.2125292065
1.2262669450,1.3518962484,1.0828186850,1.2405348352
1.2224633689,1.3452197360,0.9943720069,1.2097788265
1.2259539177,1.3425232056,1.0770340458,1.1906264766
1.1843680067,1.3369247632,1.0825837741,1.2068550291
