B,FS,K,T
0.1153219254,0.0721652617,0.1564673528,0.0890110023
0.1156262424,0.0722537003,0.1566763830,0.0893589267
0.1155008319,0.0737755319,0.1563870207,0.0889642046
0.1153458274,0.0728156564,0.1565379097,0.0893045319
0.1151641743,0.0716496501,0.1565084014,0.0889248296
0.1153484546,0.0727425004,0.1563727315,0.0889398867
0.1158377628,0.0739396139,0.1566783313,0.0894875458
0.1154336072,0.0736662925,0.1565754880,0.0889567040
0.1155467991,0.0733244490,0.1566651559,0.0892970006
0.1154747908,0.0714063166,0.1565726561,0.0891052012
0.1151044076,0.0743541163,0.1563056114,0.0888621755
0.1155959152,0.0737191198,0.1565845122,0.0889972007
0.1154579195,0.0730884947,0.1566616794,0.0889297066
0.1153465856,0.0734202751,0.1564417773,0.0890171379
0.1152691609,0.0731802303,0.1565385663,0.0888507894
0.1156442060,0.0728705674,0.1564342454,0.0890671889
0.1156311345,0.0723183814,0.1565407003,0.0891677396
0.1153074838,0.0737796697,0.1564117564,0.0891839303
0.1155976236,0.0732046404,0.1566625653,0.0892467548
0.1153495283,0.0731211512,0.1564565646,0.0890038339
0.1151882186,0.0750150070,0.1565956044,0.0887411273
0.1154780736,0.0722847316,0.1566829889,0.0893034626
0.1152286719,0.0735460586,0.1563870442,0.0893131670
0.1155562887,0.0723067290,0.1567593137,0.0893747440
0.1148036361,0.0290050516,0.1561900886,0.0885995099
0.1156108723,0.0722044085,0.1565083103,0.0892694862
0.1158975259,0.0723163683,0.1568361225,0.0897222808
0.1152211745,0.0753000193,0.1564576410,0.0888970260
0.1150192783,0.0564680092,0.1563602748,0.0885965818
0.1159357695,0.0731149556,0.1567600315,0.0895141328
