B,FS,K,T
0.6310335345,8.1834362961,0.5157882568,12.4203713524
0.6304220065,8.3092122791,0.5180368368,12.4430244843
0.6301133617,8.3800667278,0.5158920190,12.0759053267
0.6276932681,8.4264152442,0.5172985530,12.5342288951
0.6312387129,8.3559581674,0.5179992905,12.3114904603
0.6307882562,8.3827602844,0.4680514654,12.3651358553
0.6288756861,8.3691561307,0.5165438128,12.3747551569
0.6304600660,8.2486734348,0.4691969826,12.4729769096
0.6305733062,8.4165503999,0.5162108106,12.3983620630
0.6310357763,8.3734612735,0.5172213712,12.2476710554
0.6320519131,8.3885312436,0.5157253806,12.3333486308
0.6301102602,8.3220367526,0.5166102494,12.3639153665
0.6304968536,8.3714663353,0.5184684048,12.0415390435
0.6310596602,8.3471684995,0.5139032637,12.4987597668
0.6309866941,8.3164993187,0.5128001448,12.4001475958
0.6293521405,8.2622176694,0.4678297667,12.3604972314
0.6298327714,8.3869353235,0.5151751565,12.4218279532
0.6285198225,8.3666352159,0.5159769733,12.2154715977
0.6309799303,8.4198839656,0.5156315474,12.4666830920
0.6312832719,8.1757761111,0.5182766620,12.0323350631
0.6304747242,8.3604141861,0.5158964557,12.1133674958
0.6325086814,8.3919388943,0.5177520250,12.4550993968
0.6312943207,8.3546319761,0.5176031069,12.4614894257
0.6300101830,8.3990906956,0.5157664235,12.3517748022
0.6313515343,10.3236744515,0.5187675864,12.4965577036
0.6269643155,8.3629822321,0.5153140979,12.4580813686
0.6298977067,8.4173049592,0.4699595673,12.3513404298
0.6315307916,8.2652007177,0.5162630342,12.3602111992
0.6280285993,9.8497774868,0.5169529373,12.2141137037
0.6290570837,8.4292690593,0.5165747296,12.2471966401
