B,FS,K,T
2.4069691680,9.9083295275,1.2696490012,5.8110694199
2.4682853744,10.0790288531,1.2194164661,5.9387431000
2.3377234640,10.2756828714,1.2614489750,5.7145643377
2.9063341078,10.1984500610,1.2495136267,6.2445956140
2.5395041830,10.0649460596,1.2683983150,5.4605806485
2.3912417860,10.1273459333,1.1543172938,5.9364106475
2.6134590278,10.2477996028,1.1996211407,5.9761952948
2.4619752532,9.8625891095,1.1773878878,5.9620730247
2.8775595079,10.2779440757,1.2722167802,5.5249096544
2.8557880164,10.0544348952,1.2877033011,5.6980293252
2.3173356790,10.2928861857,1.2811619387,5.9279006467
2.6015788157,10.0890951003,1.2142475505,5.9395005592
2.4164527891,10.2143703292,0.8655831475,5.9876991100
2.3078587419,10.1217706666,1.2213798323,5.9596711277
2.6636109595,10.0043577019,1.2730782594,6.6610329010
2.5945761358,10.1340171594,1.2232215847,5.4716642089
2.6683459350,10.2401692545,1.2705823132,5.2297797923
2.6843904839,10.1854952012,1.2674607322,6.2123400732
4.7108573519,10.3946068900,1.2721534959,7.2171141040
2.5572087438,10.0373226076,1.2825649094,5.2311311966
2.5990524124,10.1026768809,1.2703795925,6.2242813260
2.3962473232,10.1569877388,1.2195991492,5.4328032148
2.6103924650,10.2188064212,1.2743478702,5.6615779190
2.6951803726,10.3002333920,1.2133707063,5.1673697040
2.3843678379,9.9090624541,1.2776805103,6.2739165387
2.6164130232,10.2309841298,1.2620134873,6.0924481712
2.5868195480,10.3687749494,1.1662773498,5.0071466329
2.7473203117,9.9616424091,1.2724793716,5.1547527291
2.5926165477,10.1865825798,1.2797646364,5.5754382160
2.4080789567,10.3941451732,1.2800417170,5.9092022159
