B,FS,K,T
0.1261160521,0.1296527909,0.1652195159,0.0812654524
0.1256691077,0.1289742540,0.1667435472,0.0836917256
0.1258222144,0.1199172351,0.1652807323,0.0814442090
0.1268079705,0.1178982749,0.1666522365,0.0801686804
0.1264339436,0.1212930447,0.1651711658,0.0818776500
0.1252535402,0.1280941922,0.1662362651,0.0829862706
0.1263347071,0.1358000254,0.1661218401,0.0816358307
0.1255546191,0.1295981225,0.1654584843,0.0809780190
0.1271166238,0.1279309232,0.1669348159,0.0824366981
0.1271708573,0.1162369254,0.1646283593,0.0832057258
0.1267701655,0.1137788272,0.1663720890,0.0829962588
0.1263016347,0.1098686730,0.1653329084,0.0820364578
0.1256387486,0.1199096357,0.1639884825,0.0819471523
0.1260904930,0.1124448595,0.1660187698,0.0834492032
0.1267357534,0.1201188713,0.1653298159,0.0823898356
0.1266601844,0.1273657193,0.1666117869,0.0833346303
0.1274839839,0.1095055106,0.1655212378,0.0816811809
0.1263927833,0.1219242062,0.1658902700,0.0820315836
0.1263616204,0.1200595287,0.1662080848,0.0809016503
0.1265863662,0.1168102184,0.1662680740,0.0815707934
0.1264385730,0.1302605508,0.1654408490,0.0810746140
0.1253354972,0.1127825761,0.1667784027,0.0809969606
0.1256651756,0.1273413172,0.1642920657,0.0801676925
0.1264684533,0.1262933802,0.1658656802,0.0824412443
0.1253089228,0.1168636867,0.1649284348,0.0814827761
0.1261515337,0.1186486250,0.1666198061,0.0819549408
0.1266249543,0.1261984201,0.1654489546,0.0804798485
0.1270645963,0.1279772808,0.1661069379,0.0813739319
0.1254717960,0.1295781266,0.1659164980,0.0815620957
0.1261907363,0.1287510371,0.1657995876,0.0826671789
