B,FS,K,T
0.40062,0.07125,0.40062,0.39128
0.50497,11.35688,0.50374,0.51228
0.77665,0.14069,0.70842,0.86867
0.88807,0.88348,0.74176,0.65881
1.08632,0.45818,0.73274,1.65808
0.85191,0.32363,0.75239,0.78044
1.06036,0.15636,0.93619,1.06036
1.47823,0.25300,0.80496,4.40127
1.16207,0.22935,0.87414,1.30302
0.68202,90.01120,0.68202,0.76035
0.54880,45.37436,0.54707,0.56538
0.80717,86.77029,0.79212,0.88121
0.99596,0.19998,0.68121,1.20148
0.92529,0.56567,0.89172,1.02736
0.76921,0.67338,0.71698,0.76921
2.41629,0.51627,0.78063,434.67111
1.03677,0.51215,1.01603,1.03677
1.17601,0.70497,0.87069,1.00798
0.94033,156.88178,0.94033,1.26054
0.82216,7680.61130,0.81001,1.02044
1.16274,989.74534,1.06263,1.56510
1.39996,0.54036,1.30476,2.52255
1.20487,0.49478,0.85769,5924.27786
0.84312,0.19606,0.85127,0.88209
0.92944,0.86319,0.91050,0.94286
1.76427,0.70965,0.73040,2.01414
0.99147,0.58561,0.99147,1.25054
0.63184,33.27032,0.62790,0.67810
1.14735,305.65825,1.03176,1.51625
0.90674,0.90966,0.84781,1.05713
0.87717,0.15924,0.84614,0.87717
1.69385,0.40145,0.98869,6768.69582
2.42617,1.09261,0.88013,1785.98023
1.45684,1.00672,0.95445,1865.65074
1.19678,0.35465,1.10327,1324.91909
1.56526,0.92682,1.09334,4842.84936
0.59009,8275.48518,0.58777,0.61983
0.83272,1283.76401,0.77294,0.99839
1.44820,2023.99181,1.38645,1.84741
1.69578,0.76072,1.53674,2.12178
1.52843,0.56033,1.50589,1.81913
1.68366,1.06986,1.14514,1022.49977
1.82561,0.67966,1.77687,7210.81597
1.34367,0.98833,1.06661,2152.87996
2.57551,0.68531,0.90909,7992.92087
0.40713,0.45484,0.40713,0.40923
0.59338,1306.86337,0.59338,0.62043
0.66131,0.68651,0.65275,0.73173
2.44378,0.56015,1.32791,15590.73756
2.39949,1.33306,1.52477,5213.45842
3.51215,1.34685,1.43752,2217.40018
1.44086,0.69332,1.37342,1.44086
1.43914,1.14694,1.02915,9761.41392
2.79638,0.81202,1.21493,1842.31793
0.82778,436.20157,0.82778,0.95627
0.86750,0.88070,0.82766,1.00668
1.21179,1.18383,1.00132,1.50024
1.33888,0.96434,1.12679,1.56513
1.47924,1.06812,0.99399,2.17934
1.23022,1.06747,1.08412,1.23022
1.22901,0.77732,0.91327,1.07515
3.85505,1.06526,0.89687,6384.01569
230.44666,0.87208,1.37944,5577.55791
0.60512,19.86195,0.60512,0.64091
0.77185,0.69006,0.74939,0.87959
0.87530,0.82345,0.84163,0.97988
1.01480,0.55610,0.89014,1.08619
1.33207,1.08848,1.05449,1.57267
1.15203,0.90310,1.04983,1.23077
2.04037,0.98868,1.19233,10539.11801
182.88384,0.63174,1.63474,32185.87745
4.41617,0.90611,1.02809,5424.86927
0.61143,21.92295,0.61143,0.64905
0.93014,0.83800,0.88530,1.01214
0.76251,1.20750,0.75074,0.84011
1.92403,0.89142,1.15361,2.19473
2.38143,1.05041,1.14174,13214.99034
