B,FS,K,T
0.0454487363,0.2894758627,0.0517828423,0.0806708201
0.0458058710,0.2887424655,0.0521813282,0.0806941731
0.0453519210,0.2902720765,0.0514700363,0.0806507504
0.0454672408,0.2894487866,0.0517928241,0.0804667136
0.0454427901,0.2893509068,0.0516392580,0.0804901681
0.0454930277,0.2887548133,0.0520368958,0.0804648064
0.0453929478,0.2904178133,0.0516424104,0.0803732710
0.0451592418,0.2888397770,0.0515351951,0.0802347513
0.0455375684,0.2916896842,0.0518390013,0.0806181805
0.0453937789,0.2889908249,0.0518909176,0.0803701151
0.0450047607,0.2889815613,0.0514627444,0.0804911180
0.0453876245,0.2901903966,0.0514639629,0.0806806298
0.0453175973,0.2903025523,0.0521139937,0.0804438698
0.0451417754,0.2886726865,0.0517543979,0.0805590433
0.0454594796,0.2891567900,0.0517466202,0.0802297449
0.0453680851,0.2900122005,0.0522632376,0.0804007466
0.0453275204,0.2893209553,0.0516966309,0.0806159921
0.0454769712,0.2901100910,0.0521775450,0.0805708750
0.0454652211,0.2901892913,0.0518500152,0.0810039095
0.0453451778,0.2891662334,0.0516355904,0.0803649269
0.0451538102,0.2889622461,0.0516132824,0.0803092911
0.0456843765,0.2907159852,0.0519956723,0.0809603832
0.0453921690,0.2890147983,0.0515933838,0.0807113167
0.0454532456,0.2891635775,0.0515551656,0.0801257205
0.0455374238,0.2898521635,0.0518980166,0.0810014046
0.0455084400,0.2886277727,0.0520121278,0.0803741776
0.0454867818,0.2900940107,0.0519946573,0.0806732855
0.0454144722,0.2893050174,0.0516813099,0.0805502441
0.0450734459,0.2891852619,0.0518471611,0.0801879240
0.0454850487,0.2913474241,0.0517503529,0.0805011926
