B,FS,K,T
1.0321313196,1.0942430725,1.0291226830,1.0204877749
1.0533909472,1.0335914889,1.0665867977,1.0480870180
1.0226404369,1.1357776470,1.0215630886,1.0457291356
1.0260831513,1.0737931623,1.0417461811,1.0085959751
1.0095094151,1.0859857616,1.0153302551,1.0183529094
1.0291987215,1.0602188882,1.0242007450,1.0172757489
1.0106746240,1.0401778163,1.0367570789,1.0084344618
1.0142589573,1.0552920818,1.0307932005,1.0076979949
1.0251125934,1.8788469070,1.0175446315,1.0206505127
1.0357547481,1.0360302239,1.0333677356,1.0125950897
1.0332357641,1.1142877096,1.0424314471,1.0522121813
1.0173934464,1.0613535988,1.0298840106,1.0121747348
1.0334232084,1.0425608721,1.0438624336,1.0124614887
1.0175239523,1.0136882727,1.0236392623,1.0238312717
1.0423323100,1.0307935079,1.0393463043,1.0151959315
1.0421186750,1.0514978083,1.0655608435,1.0187508052
1.0278908560,1.0436595141,1.0406852863,1.0549562928
1.0374129011,1.1015451158,1.0588932213,1.0695878338
1.0178613292,1.7610529453,1.0176718754,1.0347036853
1.0149688132,1.0383791545,1.0163315141,1.0247710695
1.0168333909,1.0278552871,1.0300293370,1.0122651180
1.0234058610,1.0792560617,1.0352187322,1.0444212077
1.0261318877,1.1311531946,1.0355619940,1.0319053779
1.0403731455,1.0669938864,1.0157065490,1.0262438854
1.0206244279,2.0600602826,1.0414558650,1.0313320125
1.0315730037,1.0176985145,1.0208245414,1.0326549282
1.0253698960,1.1310044956,1.0205919168,1.0557665593
1.0206222785,1.0411973134,1.0220207384,1.0276708056
1.0331576691,1.0945959356,1.0238592519,1.0245374313
1.0313736649,1.8334061490,1.0173696928,1.0243531715
