B,FS,K,T
0.0447337998,0.1086282028,0.0507285734,0.0743266808
0.0449368429,0.1091056785,0.0507741962,0.0746435048
0.0447817155,0.1090366629,0.0503799340,0.0742776141
0.0447348772,0.1096243526,0.0504508701,0.0744110114
0.0447743722,0.1090798330,0.0505491803,0.0742609258
0.0446954896,0.1091982624,0.0510261729,0.0740971241
0.0448197130,0.1103128117,0.0505072311,0.0742098647
0.0445146460,0.1090279153,0.0505057892,0.0739488234
0.0449212405,0.1100958847,0.0507842747,0.0747018713
0.0445794869,0.1089186704,0.0505844542,0.0743542904
0.0444745501,0.1093580202,0.0503653120,0.0741203219
0.0448343286,0.1084658064,0.0505215338,0.0743735805
0.0447648536,0.1097602243,0.0510419883,0.0742939576
0.0445385525,0.1091684565,0.0505365539,0.0742171894
0.0446952564,0.1095032779,0.0506258878,0.0740356199
0.0445965211,0.1096063752,0.0510309292,0.0742069954
0.0447012263,0.1095449359,0.0508228867,0.0743348775
0.0447388126,0.1095954015,0.0511252582,0.0741834299
0.0447423135,0.1104302796,0.0507871581,0.0746650608
0.0447097751,0.1089671131,0.0506209156,0.0738820027
0.0444969465,0.1095167840,0.0505132852,0.0741461390
0.0450546122,0.1099764833,0.0509363079,0.0751078563
0.0446047961,0.1087461469,0.0504427872,0.0745978352
0.0448347937,0.1095574005,0.0505287457,0.0743846426
0.0447479667,0.1088481615,0.0506536252,0.0748063885
0.0448481569,0.1091181089,0.0510853671,0.0744751092
0.0449135555,0.1102045788,0.0508778591,0.0747627840
0.0447287271,0.1096220133,0.0504152689,0.0744366750
0.0444302192,0.1078718033,0.0506623464,0.0741814037
0.0448544268,0.1105102747,0.0507944992,0.0742739841
