B,FS,K,T
1.0230468572,1.0726817623,1.0202290082,1.0563970702
1.0432185996,1.0668592224,1.0607877139,1.0658120070
1.0236405412,1.0646205344,1.0208904276,1.0604571527
1.0196994358,1.0680343052,1.0296886851,1.0470306113
1.0110289239,1.0674269266,1.0170732837,1.0526353710
1.0228090535,1.0729945145,1.0334141327,1.0474775694
1.0130437529,1.0643443637,1.0328899423,1.0486131284
1.0126143592,1.0683206501,1.0229851658,1.0472740070
1.0215035448,1.0728082947,1.0168149918,1.0533470528
1.0258403093,1.0707691728,1.0247784123,1.0527545128
1.0203451568,1.0678702051,1.0390798731,1.0551877026
1.0185802516,1.0592499487,1.0252834305,1.0508166815
1.0304906984,1.0729684772,1.0467612436,1.0530022051
1.0120880826,1.0666069059,1.0209637000,1.0514709471
1.0309169180,1.0725202219,1.0380089948,1.0506805173
1.0311065966,1.0655040124,1.0492538283,1.0520492309
1.0195578396,1.0687332407,1.0349303386,1.0657546896
1.0323254491,1.0691398124,1.0541987531,1.0700796250
1.0153995571,1.0701231720,1.0158943929,1.0532543976
1.0166763786,1.0661737851,1.0174051910,1.0527523213
1.0122119509,1.0678746329,1.0262863215,1.0481711215
1.0271190901,1.0686995495,1.0298213656,1.0716042124
1.0194395345,1.0668190116,1.0267890437,1.0604658267
1.0372328956,1.0741740329,1.0151311719,1.0569262334
1.0182256594,1.0797658884,1.0400021804,1.0596913710
1.0244034973,1.0708782584,1.0193768557,1.0583454728
1.0272095585,1.0661949954,1.0210149986,1.0767501446
1.0183358138,1.0669460681,1.0187785471,1.0648971309
1.0303249838,1.0655986797,1.0221264819,1.0595771420
1.0257507065,1.0670328364,1.0196312959,1.0562147218
