Z,PCAES,SCG,FS,XB,B,K,T,FH,AWCD
1.2354365224,1.0235902782,1.0098324878,1.0778049803,1.5232391780,1.0245746940,1.0091495995,1.0225346482,1.0684520929,1.0364116275
2.4395696137,1.0212678032,1.1092663284,1.0350080801,2.0058583936,1.0440753103,1.0403388757,1.0615268383,1.0386848268,1.1728254533
1.2136195670,1.0433427864,1.1325233979,1.1130108470,1.5869970259,1.0223121980,1.0212765970,1.0394819197,1.0762193351,1.1292223361
1.1346768300,1.0305825339,1.1262519252,1.0758539783,1.3078267729,1.0186406303,1.0271668327,1.0073507362,1.0555655096,1.1203232623
1.2020676731,1.0125720950,1.0467527244,1.0804851387,1.4236810605,1.0048624336,1.0123312823,1.0168453847,1.0961279487,1.0319993742
1.2597617424,1.0380421655,1.1242991611,1.0562554520,1.4532762072,1.0209006402,1.0197255031,1.0205813967,1.1623565524,1.1714280785
1.1880534288,1.0388129188,1.0810742634,1.0345642695,1.3450534978,1.0161684172,1.0215230342,1.0101593660,1.0205114932,1.0727287872
1.3291880953,1.0330346393,1.1581208207,1.0410059687,1.3693561486,1.0157966369,1.0149084131,1.0086576856,1.1496729029,1.1459294845
1.3249702153,1.0377400427,1.0168554804,1.8287053759,1.4145252133,1.0240939102,1.0250188774,1.0208733571,1.0129226560,1.0087910110
1.2116832045,1.0249621035,1.0964513161,1.0324722684,1.8779866004,1.0296542274,1.0335332111,1.0195170923,1.0489164299,1.1129814307
1.3744322583,1.0100567043,1.0219178497,1.1179682624,2.1486923128,1.0332255893,1.0438013834,1.0448474229,1.0216084105,1.0361880744
1.2867057509,1.0095380485,1.0170122858,1.0512627087,1.3620710649,1.0144468477,1.0246989345,1.0112191051,1.0432117558,1.0292860504
1.1681713490,1.0104910938,1.0447958278,1.0470812444,1.5363692848,1.0352409785,1.0397173203,1.0394245185,1.0246641590,1.0474947611
1.1849806821,1.0429370974,1.0610319597,1.0125467721,1.4503190576,1.0095028288,1.0256956150,1.0186393540,1.0666412856,1.0371480125
1.2146905884,1.0234977210,1.0576181515,1.0270898630,1.8507889832,1.0411362069,1.0286411276,1.0168693923,1.0548412857,1.0342008326
1.2136474732,1.0327904657,1.0332276050,1.0344606260,1.5849006420,1.0328103415,1.0462966476,1.0176579131,1.0584817894,1.0435309283
1.2812926333,1.0401528712,1.0154407924,1.0434435094,1.8321490673,1.0322024126,1.0387640707,1.0378279427,1.0235924276,1.0405936391
1.1389971292,1.0289317334,1.0254780823,1.0783938102,1.3520849554,1.0412402298,1.0410247237,1.0646993301,1.0252578412,1.0347024604
1.5038178016,1.0264245157,1.0185937814,1.1260003185,1.3722523899,1.0171753498,1.0164872443,1.0241650572,1.0340184738,1.0413889114
1.1474270497,1.0140697176,1.0674943295,1.0394381206,1.3301237763,1.0168900391,1.0132389081,1.0252332789,1.0210582484,1.1124503902
1.1785560604,1.0138105028,1.0647437831,1.0315455734,1.8179744816,1.0214246936,1.0174142154,1.0138798313,1.1363051648,1.1344402962
1.3025088741,1.0551246645,1.0746854838,1.0785650128,1.4622053050,1.0131701671,1.0245389058,1.0335096637,1.0265769920,1.0373202023
1.3956714873,1.0155255668,1.0486407985,1.1297004518,1.4009952386,1.0229929040,1.0229793145,1.0267796335,1.0561610845,1.0911116854
1.1881626369,1.0344309357,1.0125037955,1.0539361114,1.5836904144,1.0387108155,1.0147132939,1.0194804330,1.0104656805,1.0327544943
36199549611471.8906250000,1.0224367124,1.0066868865,2.4405429471,1.3720321758,1.0204503954,1.0342273356,1.0332016526,1.0095667443,1.0056959936
1.3016948981,1.0289750311,1.0448641541,1.0180973090,1.7099040006,1.0276255483,1.0150084401,1.0308465108,1.0781624362,1.0653035716
1.2017003014,1.0143978278,1.0762227578,1.1326217004,1.5516418496,1.0238970046,1.0265848461,1.0463403644,1.0970483660,1.0292679171
36199549611471.8828125000,1.0194860625,1.0554327843,1.0393479426,1.4035220685,1.0187543655,1.0141407517,1.0206829932,1.0273235478,1.0522451400
1.2542874557,1.0153905533,1.0727631693,1.0701743488,1.5669860320,1.0356985875,1.0260163886,1.0263779542,1.0399263841,1.0448820480
inf,1.0355452113,1.1751126274,2.5577974125,1.5592742271,1.0308456785,1.0222888118,1.0177365397,1.0168387846,1.1690483216
