Z,PCAES,SCG,FS,XB,B,K,T,FH,AWCD
0.0317089613,0.1373660965,0.0085196406,0.1064208173,0.0483595888,0.0378887225,0.0485453612,0.0736200006,0.0112523190,0.0125770047
0.0317320472,0.1378313508,0.0084595495,0.1069781663,0.0484267585,0.0380053859,0.0485232113,0.0737673569,0.0111674540,0.0125416876
0.0317592130,0.1390490314,0.0084582956,0.1070667776,0.0481750873,0.0377812123,0.0483379848,0.0732229731,0.0112842436,0.0125003318
0.0315477094,0.1388263864,0.0085409255,0.1077723584,0.0475292024,0.0378827852,0.0484332944,0.0737769835,0.0112727915,0.0124468994
0.0312132518,0.1373203559,0.0083902411,0.1072868583,0.0479865991,0.0380200309,0.0486312116,0.0735790602,0.0110960328,0.0125320028
0.0320901163,0.1394267611,0.0086262320,0.1071173064,0.0483700557,0.0378284297,0.0485906200,0.0736227371,0.0114035669,0.0127083700
0.0319766647,0.1393819420,0.0086138450,0.1081107603,0.0483455238,0.0379113519,0.0483940125,0.0736410987,0.0113217495,0.0126831287
0.0312425109,0.1408725194,0.0085537539,0.1071977205,0.0480014811,0.0378184229,0.0482880079,0.0734781143,0.0113076912,0.0124866185
0.0318680971,0.1389602461,0.0084962430,0.1080480075,0.0484731604,0.0378822123,0.0485027651,0.0737306433,0.0111798874,0.0126035464
0.0319194601,0.1369745804,0.0086143124,0.1070547318,0.0486477303,0.0378059430,0.0484019629,0.0735586247,0.0112850560,0.0126835961
0.0313896916,0.1373798006,0.0085404580,0.1073359937,0.0478378426,0.0378010558,0.0482771599,0.0734577737,0.0111878040,0.0124786651
0.0316734292,0.1375970484,0.0085418344,0.1065734702,0.0479697129,0.0378533257,0.0480972453,0.0736478746,0.0110848501,0.0125991985
0.0319182421,0.1375747492,0.0084592045,0.1076770498,0.0482900614,0.0377858690,0.0486312248,0.0734861433,0.0112829173,0.0125890467
0.0316946674,0.1387088606,0.0084675126,0.1073247964,0.0477578354,0.0378307987,0.0484413567,0.0736337209,0.0112210084,0.0123872129
0.0316045301,0.1385440811,0.0085413929,0.1073423229,0.0477936685,0.0378255081,0.0484300795,0.0736272312,0.0112387746,0.0126835961
0.0318686772,0.1374087133,0.0085766841,0.1075558882,0.0483889070,0.0378729041,0.0485091349,0.0735990487,0.0112965081,0.0126831287
0.0319332074,0.1388590834,0.0085166190,0.1077582979,0.0485915121,0.0378958733,0.0483829451,0.0733873186,0.0111798874,0.0124810790
0.0320127296,0.1391204797,0.0084423691,0.1077029083,0.0480455935,0.0377365087,0.0485467708,0.0732936675,0.0112082260,0.0125602658
0.0320148604,0.1387896374,0.0084625971,0.1082499584,0.0484055976,0.0379721408,0.0486412208,0.0738485513,0.0112156255,0.0125234503
0.0318702212,0.1367971401,0.0085294474,0.1068299766,0.0483150450,0.0378379340,0.0482563707,0.0732448975,0.0112126244,0.0124764667
0.0318173574,0.1369831608,0.0085528450,0.1075184938,0.0483716329,0.0376807287,0.0483123194,0.0733495173,0.0113425669,0.0125750582
0.0316928221,0.1410339376,0.0086023929,0.1079243783,0.0485674798,0.0380719354,0.0486716592,0.0738027391,0.0113103438,0.0126712091
0.0317578698,0.1364918038,0.0084293927,0.1066672560,0.0479859176,0.0377773391,0.0483219803,0.0744475845,0.0111011175,0.0123773469
0.0318312213,0.1385557023,0.0084838560,0.1077297365,0.0486287359,0.0377013566,0.0484479231,0.0732439335,0.0112744868,0.0125898332
0.0312269372,0.1381275674,0.0084953341,0.1075993885,0.0484256948,0.0379141583,0.0486588856,0.0739163702,0.0112262912,0.0125659181
0.0323307871,0.1387188960,0.0085064672,0.1073356914,0.0477108842,0.0377855603,0.0483478662,0.0735632309,0.0111878764,0.0125374927
0.0320108837,0.1388395951,0.0084826021,0.1083195366,0.0486016525,0.0378849948,0.0487223685,0.0736728614,0.0112700889,0.0125761923
0.0312861665,0.1380012822,0.0085307737,0.1074914885,0.0476879583,0.0377919379,0.0486122630,0.0734290938,0.0113324151,0.0125709315
0.0323184002,0.1382077635,0.0084250912,0.1067943855,0.0471534083,0.0374323661,0.0484789815,0.0730410075,0.0110972111,0.0125558423
0.0324274055,0.1383143308,0.0085175279,0.1086574765,0.0485541090,0.0379217225,0.0483418204,0.0735909667,0.0112462498,0.0124667359
