Z,PCAES,SCG,FS,XB,B,K,T,FH,AWCD
0.0038998682,0.0016436903,0.0000000000,0.0038998682,0.0038998682,0.0005503577,0.0008805724,0.0020639961,0.0002415459,0.0000000000
0.0038998682,0.0016436903,0.0000000000,0.0038998682,0.0038998682,0.0005503577,0.0008805724,0.0020639961,0.0002415459,0.0000000000
0.0038998682,0.0016436903,0.0000000000,0.0038998682,0.0038998682,0.0005503577,0.0007705008,0.0010869565,0.0002415459,0.0000000000
0.0033221100,0.0014001807,0.0000000000,0.0033221100,0.0033221100,0.0004688233,0.0014277005,0.0009259259,0.0002057613,0.0000000000
0.0033221100,0.0014001807,0.0000000000,0.0033221100,0.0033221100,0.0004688233,0.0007501172,0.0020639961,0.0002057613,0.0000000000
0.0038998682,0.0016436903,0.0000000000,0.0038998682,0.0038998682,0.0005503577,0.0007705008,0.0010869565,0.0002415459,0.0000000000
0.0038998682,0.0016436903,0.0000000000,0.0038998682,0.0038998682,0.0005503577,0.0007705008,0.0010869565,0.0002415459,0.0000000000
0.0033221100,0.0014001807,0.0000000000,0.0033221100,0.0033221100,0.0004688233,0.0007501172,0.0009259259,0.0002057613,0.0000000000
0.0038998682,0.0016436903,0.0000000000,0.0038998682,0.0038998682,0.0005503577,0.0008805724,0.0022530320,0.0002415459,0.0000000000
0.0038998682,0.0016436903,0.0000000000,0.0038998682,0.0038998682,0.0005503577,0.0008805724,0.0010869565,0.0002415459,0.0000000000
0.0033221100,0.0014001807,0.0000000000,0.0033221100,0.0033221100,0.0004688233,0.0006563526,0.0009259259,0.0002057613,0.0000000000
0.0038998682,0.0016436903,0.0000000000,0.0038998682,0.0038998682,0.0005503577,0.0008805724,0.0010869565,0.0002415459,0.0000000000
0.0038998682,0.0016436903,0.0000000000,0.0038998682,0.0038998682,0.0005503577,0.0007705008,0.0020608101,0.0002415459,0.0000000000
0.0038998682,0.0016436903,0.0000000000,0.0038998682,0.0038998682,0.0005503577,0.0008805724,0.0011814745,0.0002415459,0.0000000000
0.0033221100,0.0014001807,0.0000000000,0.0033221100,0.0033221100,0.0005625879,0.0013339358,0.0009259259,0.0002057613,0.0000000000
0.0038998682,0.0016436903,0.0000000000,0.0038998682,0.0038998682,0.0005503577,0.0008805724,0.0010869565,0.0002415459,0.0000000000
0.0038998682,0.0016436903,0.0000000000,0.0038998682,0.0038998682,0.0011944801,0.0007705008,0.0010869565,0.0002415459,0.0000000000
0.0038998682,0.0016436903,0.0000000000,0.0038998682,0.0038998682,0.0005503577,0.0008805724,0.0010869565,0.0002415459,0.0000000000
0.0038998682,0.0016436903,0.0000000000,0.0038998682,0.0038998682,0.0005503577,0.0008805724,0.0019662921,0.0002415459,0.0000000000
0.0038998682,0.0016436903,0.0000000000,0.0038998682,0.0038998682,0.0005503577,0.0014480841,0.0010869565,0.0002415459,0.0000000000
0.0038998682,0.0016436903,0.0000000000,0.0038998682,0.0038998682,0.0005503577,0.0007705008,0.0010869565,0.0002415459,0.0000000000
0.0038998682,0.0016436903,0.0000000000,0.0038998682,0.0038998682,0.0005503577,0.0007705008,0.0010869565,0.0002415459,0.0000000000
0.0038998682,0.0016436903,0.0000000000,0.0038998682,0.0038998682,0.0005503577,0.0015581557,0.0010869565,0.0002415459,0.0000000000
0.0038998682,0.0016436903,0.0000000000,0.0038998682,0.0038998682,0.0005503577,0.0008805724,0.0010869565,0.0002415459,0.0000000000
0.0038998682,0.0016436903,0.0000000000,0.0038998682,0.0038998682,0.0005503577,0.0008805724,0.0011814745,0.0002415459,0.0000000000
0.0038998682,0.0016436903,0.0000000000,0.0038998682,0.0038998682,0.0005503577,0.0008805724,0.0020608101,0.0002415459,0.0000000000
0.0038998682,0.0016436903,0.0000000000,0.0038998682,0.0038998682,0.0005503577,0.0008805724,0.0029401457,0.0002415459,0.0000000000
0.0038998682,0.0016436903,0.0000000000,0.0038998682,0.0038998682,0.0005503577,0.0015581557,0.0010869565,0.0002415459,0.0000000000
0.0038998682,0.0016436903,0.0000000000,0.0038998682,0.0038998682,0.0005503577,0.0008805724,0.0018360202,0.0002415459,0.0000000000
0.0038998682,0.0016436903,0.0000000000,0.0038998682,0.0038998682,0.0005503577,0.0008805724,0.0010869565,0.0002415459,0.0000000000
