Z,PCAES,SCG,FS,XB,B,K,T,FH,AWCD
1.0862227126,1.0485895420,1.1020473509,1.0775033672,1.0539136772,1.0239034098,1.0074191328,1.0468327273,1.1312473385,1.1348573144
1.0862810864,1.0413714535,1.1011979212,1.0706084326,1.0653987408,1.0418884068,1.0328679893,1.0580602010,1.1294410828,1.1298889856
1.0908182352,1.0669939030,1.1198964864,1.0702083798,1.0658283682,1.0307615723,1.0174060547,1.0472877489,1.1390907262,1.1361794421
1.0923359531,1.0574566701,1.1144781864,1.0740144096,1.0738796450,1.0235431194,1.0221060085,1.0372020211,1.1342123236,1.1454753701
1.0827952485,1.0307757237,1.1013491844,1.0736098888,1.0470058422,1.0197148723,1.0100613203,1.0423507235,1.1341605298,1.1266800594
1.0933098081,1.0596757525,1.1086975787,1.0773252440,1.0603230901,1.0239621413,1.0160222486,1.0402558927,1.1365790900,1.1408097470
1.0904480701,1.0646416102,1.1123756177,1.0684603541,1.0537330434,1.0256947210,1.0175172420,1.0394678961,1.1357506709,1.1468122184
1.0885087296,1.0575810818,1.1038217735,1.0730892189,1.0579117369,1.0224339915,1.0120683504,1.0374955158,1.1337151387,1.1344695032
1.0802339153,1.0680714005,1.1017278294,1.0769228302,1.0506232520,1.0281040144,1.0202582833,1.0424279756,1.1269425039,1.1392849726
1.0916635628,1.0446923033,1.1171415025,1.0758137986,1.0463052443,1.0299047119,1.0273189685,1.0431134781,1.1329172366,1.1543189606
1.0880903575,1.0293191444,1.1047569635,1.0727305312,1.0604927379,1.0236479722,1.0358543157,1.0433940433,1.1298028199,1.1351470870
1.0967954970,1.0266974284,1.1004978445,1.0645894897,1.0528386686,1.0263739572,1.0201887925,1.0404368374,1.1280585205,1.1302384014
1.0965402904,1.0321920564,1.1077489606,1.0798419604,1.0562005415,1.0364806533,1.0325200602,1.0520383671,1.1285494293,1.1424850144
1.0837479552,1.0660482759,1.1122077462,1.0719777927,1.0455688108,1.0155516531,1.0207268877,1.0437772417,1.1407916765,1.1286036949
1.0968706596,1.0434582393,1.1110151157,1.0779296249,1.0444087527,1.0324386648,1.0233542514,1.0419849038,1.1370524038,1.1298508902
1.1015921722,1.0583952597,1.1094854281,1.0691894783,1.0484087257,1.0274850554,1.0378001509,1.0413494979,1.1331021246,1.1343393437
1.0819245179,1.0689630665,1.1116541729,1.0724357956,1.0470426474,1.0254946574,1.0317902026,1.0508370728,1.1316180654,1.1459723910
1.1013380431,1.0565706836,1.1140097856,1.0746484635,1.0460582493,1.0396977208,1.0333824161,1.0573845533,1.1366518961,1.1359397842
1.0883029583,1.0483621134,1.1105382691,1.0740586685,1.0634897106,1.0260378028,1.0134692847,1.0456715765,1.1322658376,1.1439973392
1.0867605626,1.0271776745,1.1082128732,1.0709791497,1.0682624943,1.0240800090,1.0107798929,1.0460630987,1.1340207812,1.1388722073
1.0899105597,1.0259633452,1.1084194011,1.0748430156,1.0704940358,1.0232954739,1.0141309611,1.0387719137,1.1456015114,1.1476488353
1.0881082860,1.0962408364,1.1038401123,1.0727970110,1.0558341551,1.0267725664,1.0199841101,1.0542686543,1.1280070644,1.1340334151
1.0951975004,1.0307567827,1.1124159150,1.0741811262,1.0389595373,1.0263285874,1.0188215223,1.0534570997,1.1374199223,1.1516536208
1.0969552788,1.0623606145,1.1106894974,1.0803398083,1.0548764441,1.0441079754,1.0119600777,1.0449728951,1.1420101075,1.1375080603
0.9900065557,1.0422533445,1.1092674481,1.0815972087,1.0505284364,1.0269469401,1.0280610881,1.0509662011,1.1298860252,1.1336657753
1.0942781534,1.0502487960,1.1106447566,1.0761362463,1.0496966127,1.0290770064,1.0121751884,1.0449822725,1.1320457419,1.1449270367
1.0938968848,1.0373474015,1.1101748469,1.0699378121,1.0659936935,1.0340676577,1.0217218112,1.0578461136,1.1328080440,1.1456307452
0.9929015274,1.0374002083,1.1086812404,1.0713786384,1.0463504963,1.0245592778,1.0114622444,1.0447283034,1.1340366452,1.1284621649
1.0899942488,1.0364217616,1.1089152099,1.0712366074,1.0594118864,1.0315485897,1.0209553696,1.0478502364,1.1326515520,1.1310602988
nan,1.0611874085,1.1102992816,1.0735421429,1.0537276477,1.0313920074,1.0179892630,1.0417305250,1.1306632356,1.1337914814
