3.0433520358,2.9135443341,3.3915493985,3.4133848299,3.7595783602,3.6810087520,3.3100546858,3.2800928876,3.3143256873,3.3118700027
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
4.1158350656,4.1705836637,3.7941094277,4.0026884849,4.1315691721,4.2752370766,3.7897942120,3.7361266112,3.8656294666,4.0404992716
3.1410615948,2.8842769952,2.7336074561,2.5289452046,2.5524724005,2.6081554238,2.7097005379,2.6598158979,2.6591614127,2.6834136725
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2.1063478490,2.1154650104,2.0974069329,2.2840674762,2.2908880548,2.2648828909,2.3814484853,2.3766305538,2.3635318897,2.3112931649
2.8310266668,2.1546587763,2.6607183289,2.8247375974,2.8992694264,2.9907862164,3.0497367286,3.0110227825,2.9850925862,3.0332668671
14948280830636.3125000000,8012705843852.2343750000,7602603786130.6718750000,5697226948293.0439453125,4780651318171.5556640625,4357084940658.6591796875,5308303284718.0898437500,5505885016594.5537109375,5807036781897.3466796875,5667043253930.8720703125
3.3633078247,3.6121905719,3.3705722673,3.3428552006,3.3559770887,3.4319749413,3.3559436855,3.3197926425,3.2991561424,3.2815641372
3.8698610156,3.4364707582,3.3270693416,3.2950998926,3.1443842225,3.1574076457,2.9315896183,2.8523960786,2.8091268077,2.7901087554
2.1283537037,2.4031703356,2.1963378008,2.1773212023,2.2258253812,2.4587428857,2.5378881947,2.5247434886,2.6773069576,2.6720555710
3.0424821255,4.5542616635,5.1500358863,4.9558203470,4.6591089998,4.7678176700,4.4932926259,4.6035624862,4.6136037345,4.5577700943
2.2523254071,2.1316643171,2.1635118463,2.3609130133,2.3346736495,2.3509499055,2.4981345684,2.5356413699,2.5585076296,2.5532054187
8.4400945182,7.7500182768,5.7559647171,5.7128369982,5.3695113408,5.5011971102,5.3563638307,5.0159831319,5.0048355640,5.0542457535
2.8409384877,2.5943949660,2.4283197519,2.4154645878,2.4135290603,2.4196862031,2.3905483051,2.3645717496,2.4305564687,2.4316355579
3.3602912841,2.6584511298,2.6047423090,2.6578205706,2.8089150331,2.8754188790,2.8623856055,2.7829799442,2.8583994243,2.8400110468
4.4907706594,4.3517332833,5.2110568882,5.7251396848,5.4182940730,5.3901457102,4.9282570305,4.4207079427,4.4409139931,4.4217276708
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2.7507371766,3.3946946966,3.2037738455,3.6165826148,3.6311306063,3.5257880128,3.4364999552,3.3884485252,3.4228889999,3.3973805381
4.3833140909,4.7080739690,4.0641698415,3.6010085532,4.1567614903,4.0347178303,4.1159281708,4.1070858516,4.0714900564,4.0574896573
3.6046862359,2.9912398982,3.7045064911,4.0766265551,4.3193459125,4.2358158110,3.7412081628,3.5832243727,3.4775312669,3.4864261864
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2.5199131950,2.7695894284,3.0149633892,2.9136219586,2.9032294287,2.8790183284,2.9266149502,2.8336255517,2.7797651014,2.7892808618
2.0293084375,2.6901988129,3.2038168178,3.4162829732,4.2443536366,4.0251016060,4.2158279159,4.3403105431,4.3031216476,4.2853355739
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2665474594967.0581054688,2248524316503.8447265625,2047592754932.5664062500,1901205760636.0339355469,1797513053936.5942382812,1757707589433.1552734375,1643526798239.4711914062,1587080078092.8129882812,1544375039854.1157226562,1567433615296.8850097656
1130607459223.5537109375,510209928183.8406372070,513964992826.8956298828,330923995474.6055297852,273279268468.7968750000,241933895592.7449340820,170218421115.5894165039,135920075694.0031280518,251713454686.6068420410,243928740103.0892028809
2.5837921945,2.2721449645,2.2239290856,2.2488192954,2.2840011801,2.3201308128,2.3357745144,2.3130174620,2.2751044216,2.3184038571
