1.3012068419,1.3832094167,1.3681044513,1.3664853819,1.4130116077,1.4104795655,1.3728847476,1.3670903935,1.4161173593,1.4619305590,1.4996519949,1.5436293297,1.3778057046,1.4855311118,1.5767131117,1.6292791944,2.4024783054,3.2671757601,1.4675905520,1.5709603285,1.7816160545,1.8197953641,1.8197953641,1.8197953641,1.3757007129,1.2775483919,1.2781624305,1.2781624305,1.2781624305,1.2781624305,1.3630556561,1.2515295987,1.2515295987,1.2515295987,1.2515295987,1.2515295987
1.3781958736,1.5395973251,1.5197544256,1.5031028189,1.5745684392,1.5628203932,1.5099182952,1.5321196955,1.5536155046,1.5954234127,1.6285894103,1.7694285983,1.4988079861,1.6239900434,1.6633509028,1.7999036439,2.3830662281,3.2737471462,1.6046651903,1.7267754659,2.1139120481,2.1488297351,2.1488297351,2.1488297351,1.4957622421,1.3067472270,1.3075196548,1.3075196548,1.3075196548,1.3075196548,1.4230014947,1.2354525732,1.2354525732,1.2354525732,1.2354525732,1.2354525732
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
1.5121966277,1.5858614002,1.6136045799,1.6243270384,1.6621427791,1.6677251412,1.5765808099,1.6437697982,1.6264407129,1.6764861026,1.8152392829,2.0724407134,1.6323882090,1.7041210211,1.7649995175,1.8288038557,2.8469682637,3.9112139478,1.7462772435,1.9689344769,2.2196571944,2.2690765549,2.2690765549,2.2690765549,1.6436588264,1.4498584414,1.4559601210,1.4559601210,1.4559601210,1.4559601210,1.6177181825,1.4153288059,1.4153288059,1.4153288059,1.4153288059,1.4153288059
1.5195613085,1.7633847757,1.7710427761,1.8436713507,1.8755617306,1.8649925887,1.6775365225,1.7330105112,1.8153916896,1.7967685105,1.6936728645,1.8387878942,1.4237586999,1.4535165937,1.3675429577,1.9771668253,2.7850051377,3.6780503280,1.4950616523,1.7132626971,1.6845692672,1.8132048793,1.8132048793,1.8132048793,1.6020676581,1.3845017917,1.3848282901,1.3848282901,1.3848282901,1.3848282901,1.6023211364,1.3800432151,1.3800432151,1.3800432151,1.3800432151,1.3800432151
2.0401733748,2.2187020786,2.2380576703,2.2536003259,2.2842757789,2.2909146788,2.2359448066,2.2087620662,2.2093127680,2.2212953642,2.4482189944,2.8037708132,2.1057193772,2.3028581003,2.6437200093,2.8373110378,3.5291866455,4.8414163602,2.3744551121,2.5859990729,3.0637316292,3.2689742408,3.2689742408,3.2689742408,2.3085820231,2.0006742948,2.0011907655,2.0011907655,2.0011907655,2.0011907655,2.1886015165,1.8675587226,1.8675587226,1.8675587226,1.8675587226,1.8675587226
1.5595325147,1.6995589880,1.7183082206,1.7565632278,1.8281371798,1.8922067705,1.6894541932,1.7453299905,1.7970025403,1.8999628682,1.9706154960,2.0413113650,1.7401039614,1.8397737051,1.9935104522,2.0151133476,2.5049160253,3.7047300750,1.8243635278,2.0135076653,2.4195372276,2.4379953694,2.4379953694,2.4379953694,1.7111255978,1.5575689386,1.5580530697,1.5580530697,1.5580530697,1.5580530697,1.6431191106,1.4430881598,1.4430881598,1.4430881598,1.4430881598,1.4430881598
1.9431036602,2.1309764157,2.2769778359,2.2717778191,2.2061379152,2.1271202496,2.1102542917,2.2219135696,2.3348343754,2.2420654993,2.2231982005,2.2772419892,2.1282101189,2.2937355708,2.3477821298,2.2908873863,3.4881428319,5.1116502589,2.4839131652,2.8507928487,3.1568447864,3.4244286346,3.4244286346,3.4244286346,2.1665760447,2.1473559685,2.1460383736,2.1460383736,2.1460383736,2.1460383736,1.9278653292,1.8589533989,1.8589533989,1.8589533989,1.8589533989,1.8589533989
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
732564964904.5466308594,319946613414.4073486328,427683295000.7261962891,726042565304.4511718750,991748917077.7883300781,905137151179.5550537109,462351089297.9841918945,1056858500239.5187988281,1274738485635.7426757812,1037842555237.7415771484,771407659969.9033203125,837650170419.6149902344,1024898867511.1396484375,401246236568.1561889648,448496989021.1988525391,959202742786.1406250000,3270056214717.7011718750,3024355174943.9721679688,667512149123.2354736328,3521051335294.2983398438,3078097748341.8193359375,2714339390076.6376953125,2714339390076.6376953125,2714339390076.6376953125,1471673955440.0083007812,942265576013.2373046875,939883309713.1130371094,939883309713.1130371094,939883309713.1130371094,939883309713.1130371094,1205175100139.8920898438,668681667947.6352539062,668681667947.6352539062,668681667947.6352539062,668681667947.6352539062,668681667947.6352539062
1.3245122411,1.5612106416,1.5192703472,1.5254664875,1.6470939546,1.6787924746,1.5069016622,1.5287934480,1.5547567255,1.6309219610,1.8408316552,1.7719308637,1.4768728107,1.6644142661,1.8685463022,2.3524989122,3.1632821085,5.1503639298,1.7652715926,2.3625356448,2.8174301158,2.8609227188,2.8609227188,2.8609227188,1.4556764818,1.3558786346,1.3565416329,1.3565416329,1.3565416329,1.3565416329,1.4398082431,1.2193184117,1.2193184117,1.2193184117,1.2193184117,1.2193184117
1.1358058999,1.2532126304,1.2317302478,1.1903097717,1.2106807992,1.1945383347,1.2217695643,1.2182779196,1.2938921972,1.3351898096,1.4185170231,1.7332446957,1.2605701355,1.3713959829,1.4766655974,1.7260060815,2.6779021464,3.4818900882,1.2835615726,1.4997130818,1.8254659196,1.8072282637,1.8072282637,1.8072282637,1.1824596399,1.1026871585,1.1026836001,1.1026836001,1.1026836001,1.1026836001,1.1636272941,1.0932687281,1.0932687281,1.0932687281,1.0932687281,1.0932687281
1.3964657366,1.4345245093,1.4796466547,1.5107813778,1.5526644733,1.5939744684,1.4332423025,1.5203308791,1.5488529740,1.6224895877,1.7008798629,1.7383742719,1.5071313517,1.6038357612,1.6080190011,1.7056665504,2.4646099183,3.3967286828,1.4478871190,1.5593242027,1.7976914320,1.8009773002,1.8009773002,1.8009773002,1.4952971251,1.3993999674,1.4017101399,1.4017101399,1.4017101399,1.4017101399,1.4894082408,1.3609760744,1.3609760744,1.3609760744,1.3609760744,1.3609760744
1.3417534704,1.5700901411,1.5675276966,1.5718255003,1.6268035917,1.6653721618,1.5472697448,1.5683892907,1.5910732780,1.6804363509,1.7393847514,1.9346590709,1.5994548866,1.6582606883,1.8030585657,1.8629211190,2.6686228491,4.0388842671,1.6419861595,1.9806942646,2.3731527087,2.4142416580,2.4142416580,2.4142416580,1.4523899106,1.3527206401,1.3521038340,1.3521038340,1.3521038340,1.3521038340,1.3498256098,1.2482774843,1.2482774843,1.2482774843,1.2482774843,1.2482774843
